1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
66,315,1673,1549,170,1370,930,2167,2845,1973,524,2703,2347,697,256,384,0,0,0,0,0,0
66,314,1668,1547,169,1368,928,2163,2839,1970,524,2701,2345,696,256,383,0,0,0,0,0,0
66,314,1668,1547,169,1367,928,2161,2837,1969,524,2701,2345,696,256,383,0,0,0,0,0,0
66,315,1669,1547,169,1370,932,2163,2842,1973,524,2704,2346,697,256,384,0,0,0,0,0,0
66,316,1673,1549,169,1375,939,2169,2850,1978,525,2707,2348,698,257,384,0,0,0,0,0,0
66,318,1679,1552,170,1381,946,2178,2863,1987,526,2714,2351,700,257,385,0,0,0,0,0,0
66,320,1687,1557,171,1386,953,2186,2873,1994,528,2723,2356,702,258,386,0,0,0,0,0,0
67,324,1704,1567,172,1403,956,2212,2906,1992,531,2742,2364,703,258,387,0,0,0,0,0,0
67,324,1702,1567,171,1407,976,2216,2915,2018,530,2740,2364,707,261,388,0,0,0,0,0,0
68,330,1738,1587,174,1442,1008,2271,2985,2071,536,2778,2383,721,266,393,0,0,0,0,0,0
68,333,1759,1600,176,1461,1016,2304,3026,2108,539,2800,2395,732,271,397,0,0,0,0,0,0
69,335,1774,1610,178,1479,1027,2334,3063,2146,542,2815,2404,742,275,400,0,0,0,0,0,0
69,336,1780,1617,180,1489,1035,2352,3084,2176,543,2821,2408,749,278,402,0,0,0,0,0,0
69,336,1782,1620,181,1493,1036,2358,3094,2188,543,2819,2409,751,280,402,0,0,0,0,0,0
69,335,1778,1619,181,1490,1034,2354,3092,2179,541,2808,2405,749,279,401,0,0,0,0,0,0
68,332,1762,1607,179,1472,1017,2323,3061,2139,536,2779,2389,738,275,397,0,0,0,0,0,0
68,327,1736,1590,177,1448,996,2283,3011,2098,533,2755,2375,727,271,393,0,0,0,0,0,0
68,328,1733,1584,176,1440,990,2267,2982,2077,536,2767,2378,722,267,393,0,0,0,0,0,0
68,325,1719,1576,174,1426,980,2245,2954,2054,534,2756,2372,717,264,391,0,0,0,0,0,0
67,322,1709,1569,173,1416,972,2229,2934,2034,532,2745,2367,712,262,389,0,0,0,0,0,0
67,320,1700,1564,172,1407,964,2215,2915,2019,530,2736,2362,708,261,388,0,0,0,0,0,0
67,318,1690,1559,171,1397,956,2201,2896,2005,528,2726,2357,704,260,387,0,0,0,0,0,0
67,317,1683,1554,170,1386,946,2186,2875,1992,527,2717,2352,702,258,386,0,0,0,0,0,0
66,315,1675,1550,170,1375,934,2172,2853,1979,525,2708,2348,698,257,384,0,0,0,0,0,0
66,314,1671,1548,169,1370,930,2166,2843,1973,524,2703,2346,697,256,384,0,0,0,0,0,0
66,314,1669,1547,169,1368,928,2163,2838,1971,524,2702,2345,697,256,383,0,0,0,0,0,0
66,314,1668,1547,169,1368,928,2162,2836,1970,524,2702,2345,697,256,383,0,0,0,0,0,0
66,314,1669,1547,169,1371,933,2164,2841,1973,524,2704,2346,697,256,384,0,0,0,0,0,0
66,316,1673,1549,169,1375,939,2170,2850,1979,525,2708,2348,698,257,384,0,0,0,0,0,0
66,318,1680,1553,170,1381,946,2179,2862,1988,526,2715,2352,700,257,385,0,0,0,0,0,0
67,320,1688,1558,171,1387,953,2188,2873,1995,528,2723,2357,702,258,386,0,0,0,0,0,0
67,324,1704,1567,172,1404,956,2213,2904,2002,531,2742,2364,707,258,388,0,0,0,0,0,0
67,323,1703,1567,171,1408,975,2219,2914,2020,530,2740,2364,708,261,388,0,0,0,0,0,0
68,329,1738,1587,174,1443,1007,2274,2987,2079,536,2779,2383,722,267,393,0,0,0,0,0,0
68,332,1757,1599,176,1462,1021,2309,3034,2128,539,2801,2394,736,272,397,0,0,0,0,0,0
69,334,1774,1610,178,1483,1035,2346,3089,2173,541,2817,2402,749,277,401,0,0,0,0,0,0
69,335,1783,1616,179,1497,1041,2373,3137,2189,543,2825,2406,754,279,403,0,0,0,0,0,0
69,335,1784,1619,181,1500,1039,2378,3146,2195,542,2821,2405,755,281,403,0,0,0,0,0,0
