1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
24,103,1304,436,134,734,106,1273,2201,678,254,3279,5069,1095,126,403,0,0,0,0,0,0
23,99,1273,430,129,693,65,1234,2136,648,248,3260,5057,1102,126,405,0,0,0,0,0,0
23,100,1257,418,128,680,55,1204,2095,619,243,3238,5052,1081,121,403,0,0,0,0,0,0
24,105,1262,426,128,696,70,1227,2127,652,249,3271,5068,1089,123,401,0,0,0,0,0,0
25,110,1280,438,131,715,83,1263,2161,684,257,3306,5084,1099,130,405,0,0,0,0,0,0
26,116,1304,447,132,730,93,1281,2191,713,261,3336,5097,1106,137,410,0,0,0,0,0,0
27,125,1322,454,134,746,115,1312,2221,742,269,3357,5106,1110,138,411,0,0,0,0,0,0
33,148,1454,517,153,932,326,1550,2594,953,295,3481,5168,1154,150,429,0,0,0,0,0,0
39,186,1670,628,176,1164,566,1894,3096,1265,342,3691,5284,1232,183,462,0,0,0,0,0,0
45,217,1812,714,193,1317,703,2151,3419,1531,378,3924,5391,1301,224,497,0,0,0,0,0,0
47,234,1904,764,209,1401,743,2285,3535,1679,415,4099,5472,1337,244,512,0,0,0,0,0,0
48,235,1914,780,209,1424,736,2293,3562,1700,425,4143,5498,1343,245,508,0,0,0,0,0,0
47,229,1871,750,202,1353,695,2190,3427,1595,404,4047,5454,1313,229,504,0,0,0,0,0,0
44,206,1783,695,190,1295,678,2097,3330,1468,372,3887,5377,1276,211,485,0,0,0,0,0,0
42,193,1695,654,182,1220,622,1980,3204,1372,359,3764,5313,1250,201,470,0,0,0,0,0,0
40,176,1633,613,175,1146,570,1852,3070,1247,344,3660,5254,1215,186,456,0,0,0,0,0,0
41,175,1631,612,176,1157,564,1842,3051,1220,341,3646,5254,1220,175,459,0,0,0,0,0,0
42,179,1635,613,176,1151,576,1858,3054,1228,348,3669,5259,1227,181,454,0,0,0,0,0,0
40,179,1632,601,170,1161,602,1879,3068,1231,348,3649,5242,1223,176,453,0,0,0,0,0,0
39,167,1599,592,170,1141,560,1848,3025,1185,337,3610,5236,1224,175,451,0,0,0,0,0,0
40,154,1550,560,162,1038,438,1709,2828,1069,315,3544,5197,1203,164,438,0,0,0,0,0,0
37,149,1518,535,156,996,389,1644,2759,1039,302,3513,5181,1175,161,432,0,0,0,0,0,0
36,137,1452,507,153,935,331,1576,2636,966,292,3457,5157,1159,158,423,0,0,0,0,0,0
32,124,1404,483,148,874,271,1485,2500,875,276,3382,5127,1135,149,417,0,0,0,0,0,0
25,106,1288,434,131,729,105,1266,2206,678,254,3270,5063,1096,124,401,0,0,0,0,0,0
23,97,1252,415,126,682,54,1202,2101,621,246,3236,5049,1080,120,396,0,0,0,0,0,0
23,98,1247,414,126,675,51,1194,2089,611,242,3234,5046,1081,120,396,0,0,0,0,0,0
24,104,1261,426,128,694,68,1224,2120,645,248,3267,5065,1089,124,400,0,0,0,0,0,0
25,111,1282,438,131,715,83,1259,2163,684,257,3302,5084,1099,129,405,0,0,0,0,0,0
26,114,1295,447,132,734,93,1280,2193,713,261,3326,5096,1108,135,409,0,0,0,0,0,0
28,119,1312,458,134,758,108,1323,2237,738,266,3343,5107,1112,139,413,0,0,0,0,0,0
