Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Li-ion battery,Low,1587.252,1587.252,1784.0,1283.408931,1211.36869,1149.737834,1100.935663,1052.134173,1003.331502,954.5284883,905.741577,889.8609709,873.9803645,858.0841187,842.2035268,826.3396485,810.443325,794.5627535,778.6821831,762.8016137,746.9050976,731.0245421,715.1610529,699.2805156,683.3839023,667.5033807,651.6228629,635.7423491,619.8454578,603.9649561,588.1020614
Li-ion battery,Mid,1587.252,1587.252,1784.0,1715.50233,1638.774668,1436.177128,1389.71844,1343.256344,1296.790429,1250.320212,1203.845129,1185.278042,1166.711532,1148.145624,1129.58034,1111.015705,1092.451747,1073.888492,1055.325971,1036.764213,1018.203252,999.6431224,981.0838608,962.5255062,943.9680998,925.4116852,906.856309,888.3020206,869.7488727,851.1969213,832.6462263
Li-ion battery,High,1587.252,1587.252,1784.0,1850.079858,1863.287708,1836.850733,1768.060822,1699.271817,1630.483812,1561.696918,1492.91126,1482.689621,1472.467983,1462.246344,1452.024705,1441.803066,1431.581427,1421.359789,1411.13815,1400.916511,1390.694872,1380.473234,1370.251595,1360.029956,1349.808317,1339.586678,1329.36504,1319.143401,1308.921762,1298.700123,1288.478485
Electrolysis,Low,1200.0,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
Electrolysis,Mid,1200.0,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
Electrolysis,High,1200.0,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
Coal,Low,3075.0,3075.0,2869.0,2851.0,2833.0,2783.0,2734.0,2685.0,2635.0,2588.0,2540.0,2492.0,2445.0,2398.0,2383.0,2366.0,2349.0,2334.0,2317.0,2301.0,2285.0,2268.0,2252.0,2236.0,2219.0,2203.0,2186.0,2170.0,2154.0,2137.0,2122.0
Coal,Mid,3075.0,3075.0,2869.0,2851.0,2833.0,2798.0,2765.0,2731.0,2698.0,2664.0,2632.0,2598.0,2566.0,2534.0,2517.0,2499.0,2482.0,2465.0,2448.0,2431.0,2413.0,2396.0,2379.0,2361.0,2345.0,2327.0,2310.0,2293.0,2275.0,2258.0,2240.0
Coal,High,3075.0,3075.0,2869.0,2851.0,2833.0,2814.0,2796.0,2778.0,2760.0,2742.0,2724.0,2705.0,2687.0,2669.0,2651.0,2633.0,2615.0,2596.0,2578.0,2560.0,2542.0,2524.0,2506.0,2487.0,2469.0,2451.0,2433.0,2415.0,2397.0,2378.0,2360.0
Nuclear,Low,7442.0,7395.0,7349.0,7302.0,7086.0,7040.0,6995.0,6949.0,6903.0,6857.0,6811.0,6765.0,6719.0,6673.0,6627.0,6581.0,6535.0,6489.0,6443.0,6397.0,6351.0,6305.0,6259.0,6214.0,6168.0,6122.0,6076.0,6030.0,5984.0,5938.0,5892.0
