,Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Li-ion battery,Low,1727,1475.0,1358.0,1240.0,1123.0,1005.0,940.0,875.0,810.0,745.0,680.0,671.0,663.0,654.0,646.0,637.0,629.0,620.0,612.0,603.0,595.0,586.0,578.0,569.0,561.0,552.0,544.0,535.0,527.0,518.0,510.0
1,Li-ion battery,Mid,1727,1475.0,1371.0,1256.0,1167.0,1104.0,1057.0,1015.0,968.0,931.0,895.0,884.0,873.0,862.0,850.0,839.0,828.0,817.0,806.0,794.0,783.0,772.0,761.0,750.0,739.0,727.0,716.0,705.0,694.0,683.0,671.0
2,Li-ion battery,High,1727,1475.0,1435.0,1394.0,1353.0,1312.0,1285.0,1257.0,1229.0,1201.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0,1174.0
3,Electrolysis,Low,1200,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
4,Electrolysis,Mid,1200,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
5,Electrolysis,High,1200,1176.0,1152.0,1129.0,1107.0,1085.0,1063.0,1042.0,1021.0,1000.0,980.0,961.0,942.0,923.0,904.0,886.0,869.0,851.0,834.0,817.0,801.0,785.0,769.0,754.0,739.0,724.0,710.0,695.0,682.0,668.0,655.0
6,Coal,Low,3075,3075.0,2869.0,2851.0,2833.0,2783.0,2734.0,2685.0,2635.0,2588.0,2540.0,2492.0,2445.0,2398.0,2383.0,2366.0,2349.0,2334.0,2317.0,2301.0,2285.0,2268.0,2252.0,2236.0,2219.0,2203.0,2186.0,2170.0,2154.0,2137.0,2122.0
7,Coal,Mid,3075,3075.0,2869.0,2851.0,2833.0,2798.0,2765.0,2731.0,2698.0,2664.0,2632.0,2598.0,2566.0,2534.0,2517.0,2499.0,2482.0,2465.0,2448.0,2431.0,2413.0,2396.0,2379.0,2361.0,2345.0,2327.0,2310.0,2293.0,2275.0,2258.0,2240.0
8,Coal,High,3075,3075.0,2869.0,2851.0,2833.0,2814.0,2796.0,2778.0,2760.0,2742.0,2724.0,2705.0,2687.0,2669.0,2651.0,2633.0,2615.0,2596.0,2578.0,2560.0,2542.0,2524.0,2506.0,2487.0,2469.0,2451.0,2433.0,2415.0,2397.0,2378.0,2360.0
9,Nuclear,Low,7442,7395.0,7349.0,7302.0,7086.0,7040.0,6995.0,6949.0,6903.0,6857.0,6811.0,6765.0,6719.0,6673.0,6627.0,6581.0,6535.0,6489.0,6443.0,6397.0,6351.0,6305.0,6259.0,6214.0,6168.0,6122.0,6076.0,6030.0,5984.0,5938.0,5892.0
