,Date,Consumption [MWh]
0,2022-01-01,23776544.814159196
1,2022-01-02,23715422.175563958
2,2022-01-03,23484231.215646714
3,2022-01-04,23214686.074105684
4,2022-01-05,23068760.47861657
5,2022-01-06,23004237.688081402
6,2022-01-07,23017735.486509755
7,2022-01-08,23022081.701170743
8,2022-01-09,23094618.2856582
9,2022-01-10,23055639.716119774
10,2022-01-11,23027319.613869324
11,2022-01-12,23057404.502181996
12,2022-01-13,23101307.251838565
13,2022-01-14,23150855.341595218
14,2022-01-15,23269604.661912985
15,2022-01-16,23310075.432111423
16,2022-01-17,23465650.39258029
17,2022-01-18,23571685.029675853
18,2022-01-19,23698585.06674982
19,2022-01-20,23741233.735990748
20,2022-01-21,23787033.476069212
21,2022-01-22,23830866.064511623
22,2022-01-23,23902062.72806704
23,2022-01-24,23971072.905597612
24,2022-01-25,23988359.966425527
25,2022-01-26,23960920.513433315
26,2022-01-27,23905460.21306023
27,2022-01-28,23860226.53975347
28,2022-01-29,23830846.95627786
29,2022-01-30,23835387.770129334
30,2022-01-31,23850287.03441442
31,2022-02-01,23813118.501111418
32,2022-02-02,23764148.52334745
33,2022-02-03,23472416.612294707
34,2022-02-04,23167664.989650104
35,2022-02-05,22894346.616697032
36,2022-02-06,22744091.658133455
37,2022-02-07,22722875.159013193
38,2022-02-08,22733511.1477501
39,2022-02-09,22720693.508661002
40,2022-02-10,22753480.07263247
41,2022-02-11,22810403.58893675
42,2022-02-12,22882971.1217292
43,2022-02-13,22996472.65285333
44,2022-02-14,23090391.643993773
45,2022-02-15,23162766.74632166
46,2022-02-16,23171015.172972597
47,2022-02-17,23075627.16309378
48,2022-02-18,23022723.17512877
49,2022-02-19,22930650.062815614
50,2022-02-20,22931712.621287007
51,2022-02-21,23002279.182041917
52,2022-02-22,23040912.132867496
53,2022-02-23,22864222.07586859
54,2022-02-24,22446445.836652074
55,2022-02-25,22067738.432863545
56,2022-02-26,21781802.50044087
57,2022-02-27,21639256.6298381
58,2022-02-28,21590147.38470166
59,2022-03-01,21620312.193495125
60,2022-03-02,21670942.624020398
61,2022-03-03,21680209.091647193
62,2022-03-04,21729377.478525557
63,2022-03-05,21728919.525671575
64,2022-03-06,21654310.723569468
65,2022-03-07,21537018.406076208
66,2022-03-08,21373505.205376893
67,2022-03-09,21187234.6844068
68,2022-03-10,21044300.37740785
69,2022-03-11,20974196.663793784
70,2022-03-12,20838179.9477169
71,2022-03-13,20796682.520253148
72,2022-03-14,20847703.995507117
73,2022-03-15,20870423.685452517
74,2022-03-16,20890077.764084395
75,2022-03-17,20988929.434404004
76,2022-03-18,21025197.389616005
