Node_ELEC,Node_GAS,CDR_ID,Prime Mover,Existing Units,Unit Size [tCO2/h],Max New Units Annual [units/year],Max New Units Total [no.],Pmin [p.u.],Pmax [p.u.],Ramp Down Rate [p.u.],Ramp Up Rate [p.u.],Min Up Time [hours],Min Down Time [hours],Electricity Consumption [MWh/tCO2],Heat Consumption [MWh/tCO2],Minimum Capacity Factor,Maximum Capacity Factor,Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
1,1,DAC-LS-1,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
2,2,DAC-LS-2,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
3,3,DAC-LS-3,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
4,4,DAC-LS-4,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
5,5,DAC-LS-5,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
6,6,DAC-LS-6,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
7,7,DAC-LS-7,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
8,8,DAC-LS-8,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
9,9,DAC-LS-9,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
10,10,DAC-LS-10,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
11,11,DAC-LS-11,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
12,12,DAC-LS-12,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
13,13,DAC-LS-13,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
14,14,DAC-LS-14,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
15,15,DAC-LS-15,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
16,16,DAC-LS-16,DAC-LS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,0.36111111111111116,1.4722222222222223,0.5,0.9,20,20,2050,2050
1,1,DAC-SS-1,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
2,2,DAC-SS-2,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
3,3,DAC-SS-3,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
4,4,DAC-SS-4,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
5,5,DAC-SS-5,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
6,6,DAC-SS-6,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
7,7,DAC-SS-7,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
8,8,DAC-SS-8,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
9,9,DAC-SS-9,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
10,10,DAC-SS-10,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
11,11,DAC-SS-11,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
12,12,DAC-SS-12,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
13,13,DAC-SS-13,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
14,14,DAC-SS-14,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
15,15,DAC-SS-15,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
16,16,DAC-SS-16,DAC-SS,0,0.1141552511415525,14000.0,70000.0,1,1,1,1,24,24,1.638888888888889,0.0,0.75,0.9,20,20,2050,2050
