Technology,Cost
Li-ion battery,Mid
Electrolysis,Mid
Coal,Mid
Nuclear,Mid
Solar PV,Mid
Wind,Mid
UtilityPV,Mid
LandbasedWind,Mid
GasFiredWH,High
ElecHeatPumpWH,High
ElecHeatPump_SpaceHeat,High
GasFurnace_SpaceHeat,High
GasRange_Res,High
ElecInduction_Res,High
GasRange_Comm,High
ElecInduction_Comm,High
GasFurnace_SpaceHeatComm,High
ElecHeatPump_SpaceHeatComm,High
GasFiredWHComm,High
ElecHeatPumpWHComm,High
LPGHybridElecHeatPump_SpaceHeatComm,Mid
HybridElecHeatPump_SpaceHeatComm,Mid
HybridElecHeatPump_SpaceHeat,Mid
LPGHybridElecHeatPump_SpaceHeat,Mid
Net-zero CH4,Mid
Biomethane,Mid
Gasification,Mid
BTL,Mid
PTL,Mid
Long-duration storage,Mid
Underground gas storage,Mid
Peaker Plant,Mid
Natural Gas IC,Mid
Natural Gas CC,Mid
Natural Gas CT,Mid
Natural Gas ST,Mid
Natural Gas CC-CCS,Mid
Biopower,Mid
Solar Thermal,Mid
Geothermal,Mid
Hydropower,Mid
Pumped Storage,Mid
Diesel,Mid
Natural Gas,Mid
Biomass,Mid
Hydro,Mid
OffshoreWind,Mid
Res Solar PV,Mid
Comm Solar PV,Mid
Geothermal EGS,Mid
Pumped hydro storage,Mid
Multi-day storage,Mid
AC_GasFurnace,High
AC_ElecHeatPump_SpaceHeat,High
AC_GasFurnaceComm,High
AC_HeatPump_SpaceHeatComm,High
