Technology,Cost,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Li-ion battery,Low,40.0,40.0,45.0,32.0,30.0,29.0,28.0,26.0,25.0,24.0,23.0,22.0,22.0,21.0,21.0,21.0,20.0,20.0,19.0,19.0,19.0,18.0,18.0,17.0,17.0,17.0,16.0,16.0,15.0,15.0,15.0
Li-ion battery,Mid,40.0,40.0,45.0,43.0,41.0,36.0,35.0,34.0,32.0,31.0,30.0,30.0,29.0,29.0,28.0,28.0,27.0,27.0,26.0,26.0,25.0,25.0,25.0,24.0,24.0,23.0,23.0,22.0,22.0,21.0,21.0
Li-ion battery,High,40.0,40.0,45.0,46.0,47.0,46.0,44.0,42.0,41.0,39.0,37.0,37.0,37.0,37.0,36.0,36.0,36.0,36.0,35.0,35.0,35.0,35.0,34.0,34.0,34.0,33.0,33.0,33.0,33.0,32.0,32.0
Electrolysis,Low,71.0,68.0,66.0,63.0,60.0,57.0,54.0,51.0,48.0,46.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,37.0,36.0
Electrolysis,Mid,71.0,68.0,66.0,63.0,60.0,57.0,54.0,51.0,48.0,46.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,37.0,36.0
Electrolysis,High,71.0,68.0,66.0,63.0,60.0,57.0,54.0,51.0,48.0,46.0,43.0,42.0,42.0,42.0,41.0,41.0,41.0,41.0,40.0,40.0,40.0,39.0,39.0,39.0,38.0,38.0,38.0,37.0,37.0,37.0,36.0
Coal,Low,74.0,74.0,74.0,74.0,74.0,73.0,72.0,71.0,70.0,69.0,69.0,68.0,67.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Coal,Mid,74.0,74.0,74.0,74.0,74.0,73.0,73.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0
Coal,High,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
Nuclear,Low,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0,146.0
