,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,6289150.718956235,847726.9215737273,28808.75445744022,405703.5696174008,980.6846863059884
1,0.0,6285092.511114885,844208.1421128337,28645.12672887695,404166.7113121453,1087.405866830472
2,0.0,6282887.488239101,840458.5369941611,28470.301806044186,402590.1859123513,1191.9420596956916
3,0.0,6280524.459890641,837030.7817794846,28233.559700185917,400963.4520812991,1200.0
4,0.0,6278574.964807465,833491.7553770756,28071.691083673675,399214.0665029394,1437.4589914914127
5,0.0,6277604.371906865,829927.2613854976,27894.896710398723,397399.726583047,1272.3743677336702
6,0.0,6275488.6790082,826217.1759479904,27730.8874961848,395685.64965952636,1176.9640429802416
7,0.0,6274422.546903189,823030.8445786457,27595.469470910823,394212.5012479041,1050.0
8,0.0,6273045.065869346,819509.4927249849,27491.471360812277,392914.4270374918,873.0181984251012
9,0.0,6269037.01139018,816019.7463091916,27330.560633659865,391402.5881140184,750.0
10,0.0,6265649.310736145,812416.1198486438,27151.94070832085,389803.42198398616,750.0
11,0.0,6262428.455614316,808968.0977274779,27059.729951434954,388096.03020404093,645.7554566573311
12,0.0,6258550.109275911,805711.3851359279,26919.6116994658,386619.3559294818,664.9516468682127
13,0.0,6252743.189153428,802295.0351916614,26771.59801472591,384841.3786427209,641.2700401200241
14,0.0,6246845.087465866,799187.4326765127,26632.945377218097,383096.6068988921,694.4820594304947
15,0.0,6239347.5908546755,796068.1059117868,26547.970200916785,381357.0204144261,600.0
16,0.0,6230515.037834274,792736.7406733454,26435.060491802957,379872.20539621875,526.4224072895954
17,0.0,6220619.270589611,789440.3405043324,26240.109002198013,378373.7544857346,900.0
18,0.0,6209426.559766759,785953.8031969857,26040.60093227702,376896.8065368902,1094.4890047950967
19,0.0,6198318.206317168,782372.8662346624,25925.27717635272,375137.13877647044,1036.1087682295697
20,0.0,6185656.385617268,778872.2852198456,25828.572931080107,373615.1260772885,824.9636118640562
21,0.0,6172410.530205511,775289.8195796936,25721.834332155777,371973.2466161469,626.544828367131
22,0.0,6157695.4279142935,771810.5430527632,25554.523992763257,370573.6718959759,579.9201318798538
23,0.0,6142691.609602246,768580.0666214935,25397.338050821607,368748.860527278,450.0
24,0.0,6126801.979482892,765491.5079118379,25260.777349400367,367128.9908318639,852.5486079266
25,0.0,6109673.502711678,762555.1577321502,25118.935706191158,365633.002459656,871.1514800516056
26,0.0,6092012.864192182,759605.0120601596,24986.710010953415,364285.4198667485,754.0124324109762
27,0.0,6074378.31621764,756397.2704649969,24843.510111145384,362958.7754654019,900.0
28,0.0,6055278.597585586,752883.2456865059,24777.524417396075,361519.46858034394,860.7761010806105
29,0.0,6036242.617546494,749546.2174912315,24688.09340968855,360217.54964207555,1116.1726282452037
30,0.0,6016490.73212216,746099.4110011299,24536.99688064944,358801.2862252381,1061.0332379354581
31,0.0,5996964.621244599,742599.3967907487,24522.927004818077,357384.737301653,1154.5680026086288
32,0.0,5977379.944259348,739336.3686140766,24382.68866240658,356015.37104640546,1435.0578360023985
33,0.0,5957580.513481268,736023.1245899067,24227.369215023467,354628.7569018124,1650.0
34,0.0,5937284.595086439,732919.7278910597,24121.824772233733,353218.32385268586,1909.8568074138204
35,0.0,5916126.1039477335,729857.793613156,24044.358565902658,351758.1171324178,2364.0223730264897
36,0.0,5894550.581805164,726585.5909571773,23939.43104707112,350465.4051161949,1798.9904700107093
37,0.0,5872139.587484926,723108.2682581125,23853.495508896653,349275.2910426742,2100.0
38,0.0,5850571.519265657,719812.8750267682,23753.858030208183,347949.01572576805,1875.2453368076335
39,0.0,5828052.600121978,716765.2302315113,23661.949996790547,346573.1360602497,2033.0174350833151
40,0.0,5806124.575238346,713538.8209516541,23600.46921736313,345492.8643870762,1499.1144241193456
41,0.0,5783115.398427863,710269.3471744622,23425.904979997416,344121.13155198435,1214.3977732054557
42,0.0,5760495.070269167,707036.2514963986,23309.28248492611,342707.0489870379,1219.5239911588226
43,0.0,5738237.4695984395,703822.5991953115,23229.119318423775,341455.2055226289,1263.6549368282574
44,0.0,5715900.061548569,700640.30005559,23180.563859998405,340052.62330320425,1156.242842741724
45,0.0,5692933.389892396,697725.4291212648,23057.189909156226,338663.61826659675,1350.0
46,0.0,5670558.443523526,694710.3438641019,22997.71410561853,337497.75989279215,1350.0
47,0.0,5647813.665475685,691574.066185994,22892.69711124026,336401.8207871912,1379.2082966621851
48,0.0,5624214.036485111,688480.8881766367,22798.63385603132,335184.01557397394,1353.5174617546131
49,0.0,5600501.898332455,685235.979064525,22740.48599532369,334002.2390627568,1218.6402519849232
50,0.0,5576938.717033865,681995.8073262528,22664.002246991866,332904.84614020557,976.2274140793604
51,0.0,5553168.121389985,678750.082495828,22564.92734820913,331793.46528714884,1189.3259405791332
52,0.0,5529429.3686165335,675602.7187112592,22489.9377269859,330472.2212767138,895.0206555725008
53,0.0,5505918.2433277415,672516.141167788,22347.06126017548,329148.44645737426,708.3716367176478
