,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,10160109.773228843,1514392.289990275,54886.96108448056,762352.2994718729,1751.6107991420156
1,0.0,10183796.350901937,1508675.9514162308,54514.101884760195,759693.9672308898,2587.405866830472
2,0.0,10200229.121119222,1502741.3078105322,54205.4745749574,757016.8162430441,3291.9420596956916
3,0.0,10207917.00079702,1496805.3788861004,54109.75747723784,754175.6027687271,3760.715823538586
4,0.0,10214192.761296334,1491035.6472929413,53806.12948048573,751217.4153229983,3861.80119730746
5,0.0,10218742.853207642,1485516.6391795855,53399.62124601142,748419.0974980064,3711.481949638287
6,0.0,10221791.937674811,1479900.4912701554,52920.83128538154,745537.970794301,3778.6537530798187
7,0.0,10225931.566033857,1474659.3651390313,52638.60884705876,742802.551217251,3229.41231552448
8,0.0,10230560.77208856,1469210.9873675483,52524.66500077381,740466.7550317901,2975.330238150043
9,0.0,10232059.735969173,1463696.1141936614,52170.47589667266,737598.4696702616,3450.0
10,0.0,10235320.472609324,1458441.719340169,51805.627658149075,734770.3733525779,3674.362512005673
11,0.0,10237520.197730027,1453050.824151862,51480.78637586965,731456.9839953221,2942.1866122480487
12,0.0,10238943.508839766,1448009.900801285,51177.38622136856,728591.8702673498,2623.799445735394
13,0.0,10237653.56465448,1442949.896661647,50796.15344958413,725329.6998813961,2544.6288510464074
14,0.0,10236653.721765367,1438104.8175398933,50561.962412096385,722330.5422501852,3074.0818675733703
15,0.0,10233692.97341362,1433420.7585533434,50374.939829937255,719489.2737295858,3000.0
16,0.0,10228949.34161965,1428613.8396631347,50138.25117524038,716711.2699237848,3085.0696439833973
17,0.0,10223207.614464713,1423886.094512672,49849.29425707128,713942.4334253707,3264.6314721636654
18,0.0,10215854.696720766,1419253.9631302508,49525.45830113814,711260.1233001961,3210.157254227401
19,0.0,10207680.294348722,1414320.4625918162,49284.2209674968,708235.0270271209,2931.5316747861207
20,0.0,10197946.414048206,1409605.312057314,49055.115340736134,705438.9761358359,2513.7213965551778
21,0.0,10186943.852133363,1405212.47282186,48783.36764564351,702637.7933103109,2211.4947320511505
22,0.0,10173494.587127445,1400411.1924868966,48494.47839309221,700190.3160655441,2133.761115425874
23,0.0,10159452.560040139,1395984.7894368803,48189.85023979031,697446.0247558537,2130.639019237968
24,0.0,10144496.400412684,1391861.6200942628,47939.600255345395,694679.3591321516,2447.4111803749256
25,0.0,10128130.90020095,1388041.7217194226,47642.89694881379,692137.3512001699,2189.2495065008316
26,0.0,10111455.915609596,1384281.6054367619,47372.57974004148,689616.3968921307,2175.8268601413133
27,0.0,10093651.120884597,1380219.8050469102,47068.14039441166,687118.2829307688,2204.8866910957904
28,0.0,10073243.839710025,1375866.3729871172,46885.95407003694,684791.0454943345,2074.5515958250403
29,0.0,10054272.856437922,1371685.5534863353,46722.52117772349,682416.2427755995,2660.259146606902
30,0.0,10032660.952350734,1367403.7109092618,46478.68373295746,679664.8730300996,2915.1044115436953
31,0.0,10011579.49831838,1363067.686697072,46391.03576752063,676894.1980444303,2954.568002608629
32,0.0,9989546.424912626,1359193.5015847138,46095.4651429307,674404.0026875741,3235.0578360023983
33,0.0,9968675.19453229,1355019.0419661761,45802.300836046896,671853.6928239056,4104.144322449776
34,0.0,9946183.671281012,1351015.5260622909,45605.21265152203,669438.0584629561,4338.4463455870155
35,0.0,9922910.088713506,1347321.709780721,45465.84472116854,666950.4855498547,5128.1749977017
36,0.0,9899831.378681073,1343529.6906733075,45228.29008177098,664678.840598421,4338.899445608288
37,0.0,9875420.746994812,1339372.963859095,44985.63197924236,662414.2597621543,4770.059216098447
38,0.0,9851662.870688813,1335381.8911695052,44842.68879200936,659932.7918110137,4001.0167057898057
39,0.0,9827575.417517837,1331162.143026355,44635.93701975744,657416.4000502413,3448.1205528990545
40,0.0,9804576.89802082,1326856.844447379,44476.4325025542,655201.244656721,2744.9827576811667
41,0.0,9779535.669594524,1322589.9975698208,44219.858029418225,652735.0610103157,2212.778084585355
42,0.0,9753901.681129036,1318308.466825674,44010.729099274904,650286.0118100333,2269.5239911588224
43,0.0,9728872.146093978,1314245.39481134,43846.421057889966,647867.1739516064,2185.1168314827064
44,0.0,9703913.825555302,1310110.1303860028,43695.72863306944,645531.8926938454,2206.242842741724
45,0.0,9678285.573321331,1306271.5888136262,43480.08381793742,642960.1472298682,2742.868459484626
46,0.0,9652735.24031793,1302483.7611698501,43355.359679133624,640688.4321876758,2750.5809897398303
47,0.0,9627438.676378338,1298413.7560810854,43132.32863885733,638673.1820964454,2879.208296662185
48,0.0,9601008.236561771,1294288.6340468503,42911.50362295799,636492.7650495379,3343.6958634519065
49,0.0,9573957.147378774,1289863.735754578,42733.79099212793,634288.7430078299,3709.251235481848
50,0.0,9547016.51860478,1285608.9056182574,42608.12191284088,632282.6383689656,3483.0856129910408
51,0.0,9519090.325987527,1281255.4989948145,42450.5880270822,630165.6420597109,3449.1040021373556
52,0.0,9491006.609263219,1277066.864301661,42279.88481432352,627727.7907034436,3190.0873692392233
53,0.0,9463581.624280274,1272860.045923426,42049.526186387404,625338.5654106135,2882.1600000402286
54,0.0,9434730.371518373,1268997.0968452997,41870.098966549165,623404.884697758,3203.528792010036
55,0.0,9405786.245165236,1264877.1314593996,41712.09810243107,620991.4399811875,3268.3706662648383
56,0.0,9375141.366508367,1260730.566980084,41608.93823123906,618494.1062544716,3264.441658269674
57,0.0,9345249.723056797,1256127.9251996013,41471.186972195545,616181.9579366028,3015.5259407617395
58,0.0,9315485.986786546,1251478.0339908362,41337.155742140945,613947.840014077,2582.068548427323
59,0.0,9291997.184321607,1246899.929995293,41267.21792562019,611832.1830080107,3058.5190712916074
60,0.0,9285035.504428698,1242344.8384653558,41175.89325909702,609708.6389833228,3158.772780631401
61,0.0,9252946.071140395,1237769.1827906268,41157.51233284208,607447.128490216,2659.293852522164
62,0.0,9219800.576238083,1233105.2247509167,40988.6933854162,605253.3249208305,3183.934627129606
63,0.0,9187023.098221112,1228745.0239973865,40877.29818816211,602963.471257825,3214.45780511859
64,0.0,9155452.874510676,1224214.4228197099,40767.97381633491,600939.453070157,3710.3747747317375
65,0.0,9122741.3680427,1219827.9675462611,40629.768290099324,598718.9028573037,3876.3218627859633
66,0.0,9088587.092270326,1215815.7427155431,40526.28002676032,596464.4949526757,4026.622791868283
67,0.0,9054630.8346015,1211381.278415292,40376.00528563443,594578.1169055451,4049.409782867256
68,0.0,9019465.174992837,1206854.9965749092,40218.95220747312,592596.4263993957,3386.2386680586105
69,0.0,8985423.990401072,1201932.9832798222,40087.553072512135,590431.2132053307,2658.8543029805505
70,0.0,8950550.80496566,1197313.9151731671,39975.02118412404,588432.366761933,2438.082869047618
71,0.0,8915766.627400935,1192884.8184221815,39835.007249244976,586352.4807022474,2092.3162817423217
72,0.0,8879318.000608923,1188117.9916710968,39641.31001414796,584623.8920721896,2334.1386476465136
73,0.0,8841504.768293181,1183448.3070715184,39563.88818694973,582315.2653464783,2935.2963859187225
74,0.0,8805852.877160752,1178961.895184286,39799.653094891146,580062.0293567303,3429.5324459494946
75,0.0,8769584.517205423,1174484.4837931416,39823.064757429,577962.7419948836,3364.9069302844673
76,0.0,8732197.82004838,1170001.1008116957,39767.43847178531,575951.3131560782,3417.401405056037
77,0.0,8695695.529854639,1165372.9933757759,39632.36879091295,574112.572187195,3300.0
78,0.0,8658059.975962097,1161496.5902842225,39557.20996109759,572252.6413171479,3830.514941439882
79,0.0,8620709.709136281,1157277.8944046511,39504.889133177785,570398.2301993102,3632.9773102169097
80,0.0,8582374.307932535,1152732.4955632805,39578.06191868715,568406.4762695909,3820.394443851038
81,0.0,8545192.233350197,1148237.757880604,39447.71086201624,566421.3159476002,3251.206998302455
82,0.0,8507424.270003753,1143840.2440098478,39410.90537511538,564592.3210865012,3703.5510885054728
83,0.0,8469410.05018403,1138981.4935080581,39287.24822328148,562636.9093413007,3196.2164527682985
84,0.0,8429941.454052193,1134718.7471365742,39273.08779646606,560876.5423559969,2914.8667086119754
85,0.0,8391134.019399708,1130430.8425235255,39147.42952364089,559091.6259651209,3238.27943377089
86,0.0,8353391.0560294865,1125975.7430847867,39009.82801794783,557146.4119122108,3288.9136347106373
87,0.0,8315182.5571165895,1121468.4424759145,38967.30390742607,555440.1334875225,2874.6560349736415
88,0.0,8275533.372944814,1116999.9418643257,38901.72361488129,553857.7566138007,2753.8016759000943
89,0.0,8236503.590693026,1112646.3142429914,38852.63008435809,552197.2057837319,2827.5962567121355
90,0.0,8197548.001544928,1107955.6643469287,38802.041442469534,550476.2047605108,2607.4123230051923
91,0.0,8158797.545841794,1103730.3808170452,38731.29753720743,548540.7403990958,2601.1776762790955
92,0.0,8120274.099641983,1099095.910628574,38608.48702395694,546745.4223616787,2313.0693643703744
93,0.0,8080506.018488129,1094831.5336622403,38556.9599543004,545288.8866648523,2201.8374337507057
94,0.0,8039994.794316711,1090505.931758203,38531.507442935654,543336.5074996637,2400.0
95,0.0,7999498.316125672,1086122.3687788865,38486.27693870563,541749.9731537269,2679.757133630829
96,0.0,7958839.343805551,1081719.0458062848,38442.114541927156,540137.8605221326,2517.3073491623313
97,0.0,7919103.251801598,1077069.3746866442,38433.53526316964,538472.1637353027,2434.2027332348707
98,0.0,7878642.061562592,1072348.458659065,38369.92384907994,536992.0455983889,2836.9695091753456
99,0.0,7838419.9602247225,1068026.532635475,38340.64339230907,535221.1455256143,2959.8584489031673
100,0.0,7798413.626756481,1063297.1452873182,38306.24059902146,533329.3833087622,3131.0349970425395
101,0.0,7758016.405338594,1058623.2858840597,38315.59111778804,531790.941680186,3713.641991712285
102,0.0,7718422.327035542,1054307.0509253794,38373.79502712837,530036.2940102593,3402.1072972347615
103,0.0,7678538.775142092,1050229.4765347822,38336.5201379702,528602.759038725,2929.3554730025917
104,0.0,7637626.199178311,1046273.1264126175,38126.131497733375,527026.6708333805,2361.429114471703
105,0.0,7597270.10421498,1041978.910001463,38167.70929222441,525165.0833025619,1756.2410078425687
106,0.0,7556276.353111472,1037927.9281398702,38163.921404533095,523659.73746629036,1937.3158640261363
107,0.0,7514864.109927972,1033785.1878523397,38125.59920026897,522046.84578790626,1677.4888534713255
108,0.0,7474284.672813724,1029575.6255671885,38130.28875739484,520332.37190262286,1991.8875409267146
109,0.0,7434500.968065255,1025433.0154256227,38165.89454074847,518507.42172955815,2652.7344832139847
110,0.0,7394132.350720807,1020931.8319369493,38181.47182591254,517020.5980074334,2815.2485039922803
111,0.0,7353727.450560434,1016345.2541030205,38274.5335509767,515563.0389937906,3027.048528943552
112,0.0,7313323.138874346,1012220.9269497837,38262.3777301109,513760.28108135535,3333.43563697212
113,0.0,7272916.810965559,1007608.0712172615,38396.82105399057,512272.4031686104,3586.8490045997028
114,0.0,7233189.597808634,1007762.2859573846,38443.324221370116,510740.67930322816,3426.5471371691137
115,0.0,7192439.343150681,1001721.468851111,38644.332772165355,509217.7619266628,2854.526650157636
116,0.0,7152316.927403957,994935.9171139897,38777.48168193822,507753.9227972588,2852.9598278807025
117,0.0,7111607.611850267,990397.9334771215,38751.940332777,506258.2700485728,2758.893838247338
118,0.0,7071361.256230844,986253.8982562636,38773.724843412696,504473.9320796992,2419.7156247970775
119,0.0,7031876.51127825,981909.5399079951,38794.75034887589,503356.9421373309,2268.5942901345597
120,0.0,6992535.853124633,977396.9704202648,38822.41031410407,501667.8311367001,2287.5188714777623
121,0.0,6952239.071404012,973079.0801572308,39073.51144991774,500309.86720266764,2700.0
122,0.0,6912691.529312117,968794.15861533,39109.35371261038,498660.5126473501,2962.191828935902
123,0.0,6872727.401096954,964506.6076332747,39160.96075332607,497123.85022615077,2324.477538656737
124,0.0,6832602.498978518,960357.6708391492,39153.11037703161,495523.5258678011,1889.0403061888217
125,0.0,6792896.404493364,955881.3008681994,39255.353375074825,494049.57927205926,1660.2675119033618
126,0.0,6753282.216885342,951822.9184404584,39350.58755307194,492504.5068200353,1690.5605819454138
127,0.0,6712778.113828123,947942.280242233,39448.47393641901,491156.46817881125,1882.1324273266368
128,0.0,6673972.583355697,943717.5937094967,39497.84022147155,489524.02669411653,1963.782906031277
129,0.0,6635594.840696877,939705.1670035071,39494.5407899584,488113.02846680116,1978.7128974200118
130,0.0,6596223.2773864,935694.2425457883,39621.27987143125,486845.7543744269,1841.4567115407565
131,0.0,6556960.562171877,931453.1522557009,39557.75563870175,485383.48041345173,2340.296881468494
132,0.0,6517680.660325231,927043.1991156256,39546.262749484784,484075.13472348044,2078.9671673024777
133,0.0,6479115.478284249,922852.1053492357,39595.46214348086,482575.3835086892,1817.9413207531836
134,0.0,6439826.220071497,918930.726406333,39593.41788906111,481147.3897653151,1684.1551941575788
135,0.0,6400292.135137831,914677.7418136823,39488.38709506181,479886.9848918955,1878.3706495907375
136,0.0,6361318.93740906,910809.3306654913,39418.371093762544,478591.52821250085,1768.255385451087
137,0.0,6322874.682384844,906841.5497602649,39352.90160666919,477336.6999597855,1683.078262633459
138,0.0,6283145.065086594,902822.0231571251,39371.07791767893,476235.4339414119,1636.834188523107
