,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,2223223.261935101,363690.52656746865,77823.52748517011,627491.1345534071,2983.2856148218066
1,0.0,2223392.2249031356,362222.3254558783,77356.32890488971,624831.4074089151,3178.7001693186285
2,0.0,2223619.1247167266,360605.1308432596,76850.03328028215,622230.9572077943,3764.919279547487
3,0.0,2224509.4681063346,359023.5111581804,76287.30531031672,619738.6689564892,3506.281288111034
4,0.0,2225709.2986606695,357486.7701707876,75946.87669686075,617092.8163734563,3260.127411283099
5,0.0,2226756.120209735,356009.58690128854,75529.92868987331,614528.4400937179,3889.7285991661706
6,0.0,2228550.5797916874,354446.8208471886,75011.81351990474,611816.9937374335,3630.664366799055
7,0.0,2229042.4794064574,352884.0371050476,74535.56203127945,609360.9528489294,3459.242915421528
8,0.0,2230501.042327858,351334.06752564805,74093.64866584996,606956.6885084086,3805.893385378081
9,0.0,2231839.803798631,349879.53112362395,73642.24452813373,604328.0694501449,4162.456839485401
10,0.0,2232760.4634938776,348264.13282650977,73177.6154908724,602008.8092675578,4327.553506992586
11,0.0,2233146.4584934334,346826.30008527916,72673.7361172791,599669.5379858699,3605.820647136005
12,0.0,2233323.548626096,345295.3424557409,72368.24106973333,597458.3020418873,3478.1104616068474
13,0.0,2233065.857082472,343832.62207137846,71948.02337096701,595134.8513771724,3282.719810441174
14,0.0,2232995.3832276165,342340.58852948004,71570.9418471965,592781.6732866642,2683.408451685341
15,0.0,2232831.2054311386,340806.53423317795,71206.12397816457,590506.9019727637,2874.486710541803
16,0.0,2231379.8906284543,339127.0534065108,70767.27403590563,588272.3019808757,3000.0
17,0.0,2229729.9995014267,337550.5405040587,70383.71544448832,585921.5644030113,3359.566486985518
18,0.0,2227205.576373976,336222.63741352735,70037.48908068812,583843.1386066447,3879.3155221286356
19,0.0,2224077.30807361,334679.15343354054,69563.07331890693,581273.7621994079,3500.1874314255106
20,0.0,2221219.0382478926,333078.01160785416,69170.4292378383,578757.2048143756,4038.8659121042874
21,0.0,2217250.4155996637,331430.291287064,68771.75337039695,576153.1127600773,3723.2111215575233
22,0.0,2213523.0776580996,329899.986844125,68325.67952108348,573576.3559904072,3161.807420163961
23,0.0,2209430.1515972544,328422.65925303736,67973.1667038777,571043.6927985615,3628.3716682371373
24,0.0,2204693.0027377154,327016.5187114225,67556.90372235065,568654.9933842614,3802.379480182731
25,0.0,2199359.1081184032,325363.78925102775,67167.48007392259,566213.857635707,4355.277472723937
26,0.0,2193866.6172040473,323960.33634298976,66785.92143205347,563774.9288292417,4204.293168498761
27,0.0,2188473.265143873,322530.2031213869,66345.71404379047,561458.212295046,3408.891990934721
28,0.0,2182771.744451224,321193.62069448875,65997.2098630441,559349.485332039,2525.8709160494986
29,0.0,2177615.8979554074,319704.66625022126,65613.61898469631,557388.4545761999,2542.057988860847
30,0.0,2174103.4133165455,318335.0264988931,65216.79231237367,555203.6464591151,2525.3678852620005
31,0.0,2168016.251169925,317049.5173011803,64874.06813209694,553112.9964574202,2671.8776885844836
32,0.0,2161588.6546582202,315754.87594949984,64519.475478385546,551093.9934102825,2316.1001243146166
33,0.0,2154989.7842973075,314405.51116639195,64132.146383412844,549023.5469921947,2243.9876008632714
34,0.0,2148777.003261008,312887.9242449786,63735.35849126813,546833.0151420706,2250.0
35,0.0,2142090.8485007393,311500.79380092997,63331.315131380885,544419.7971669481,1974.3248932921863
36,0.0,2134645.093500389,310089.90597736696,62976.23441537273,542419.6425437552,1813.3079955465773
37,0.0,2126636.6798885097,308654.2699929471,62668.831701646755,540123.2386609882,2262.000106409782
