,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,3594197.422632945,645106.9019349404,158418.5943054815,1198956.24412999,7715.6590710528535
1,0.0,3602586.784862852,642545.4653946435,157509.65583024154,1194471.7204034445,8253.439826903268
2,0.0,3608608.5435493127,640055.3447874803,156608.2766803492,1190055.9163509172,8496.241441632723
3,0.0,3613158.235877056,637418.253002758,155753.73774787158,1185356.7262050845,7425.809165050498
4,0.0,3617472.4645398743,634689.3577643876,154893.99227072796,1180870.5038409173,7016.469209972818
5,0.0,3621671.366197318,632191.5351493816,153978.56225228653,1176543.877143789,7483.658060881327
6,0.0,3626259.6304273494,629679.1405563683,152789.71207227168,1171890.1873138053,7077.439322490107
7,0.0,3629989.5927571636,627220.2734915371,151782.3418412384,1167513.135445025,6791.90557670228
8,0.0,3634243.2079297467,624788.622140689,150775.89155844031,1163206.9007184878,7267.371786702807
9,0.0,3637973.204720011,622444.5583718594,149876.77974242758,1158559.630595282,8156.294878750608
10,0.0,3642283.565230013,619924.7837287107,148841.88054973495,1154310.1361480348,8227.553506992586
11,0.0,3645985.3328504027,617780.0915534424,147948.270404808,1149976.2513358353,8147.1066270203155
12,0.0,3648179.7892569415,615419.7305113941,147201.89409512613,1145737.4537501275,7828.931448516218
13,0.0,3649956.7420936283,613025.7311518645,146504.0515246537,1141374.415808837,7532.698298160143
14,0.0,3651656.8375430647,610703.8360388059,145762.09469967723,1137227.711882767,7126.89699328935
15,0.0,3653887.7868807544,608348.4920676647,145048.60513865342,1133028.7150934448,6875.898865453062
16,0.0,3654724.7183314874,605945.0135285005,144189.39076397178,1129016.7191854266,6519.871148989101
17,0.0,3654599.1994781564,603596.828140652,143492.58700407055,1124680.550260028,6653.284037239345
18,0.0,3653477.7052047253,601470.2256940702,142807.1389959605,1120845.0591581792,7217.063545964776
19,0.0,3652148.237935416,599429.0776019146,141906.27092996956,1116205.1797816996,6643.896186757563
20,0.0,3651168.122492893,597179.7204804522,141254.49705963858,1111728.3042316416,7028.065878490894
21,0.0,3648407.4761749604,594897.0351960288,140379.93936432627,1107349.5327431052,7074.696485532082
22,0.0,3645850.1555746174,592781.3835876434,139558.00236460113,1103039.970686709,6259.223573225376
23,0.0,3642013.9434741326,590783.7645924441,138915.18665080893,1098566.5874517309,6595.977358752809
24,0.0,3638757.9459938346,588699.9045958014,138095.7125428901,1094334.633699377,7083.084230425928
25,0.0,3634699.1200253996,586389.618918493,137357.31388081165,1090098.778262027,8188.412360069168
26,0.0,3629881.2905105003,584478.7685099186,136517.10344853514,1086033.9974147168,8136.703334800478
27,0.0,3624841.5256064334,582544.9674602903,135665.61184851415,1081849.208857255,8080.048667575906
28,0.0,3619477.6476968494,580562.2068509987,134844.35690975797,1078051.8776829771,7822.829757712003
29,0.0,3614802.365229321,578745.3185539931,134100.28007571,1074326.09004604,8585.785416740644
30,0.0,3610729.667992428,577007.4665772915,133367.50080712623,1070411.3092158956,8108.629376058315
31,0.0,3604850.3287926773,575052.5493071454,132688.96171265008,1066373.178727172,7579.681293632873
32,0.0,3598188.143052117,573280.0996861003,132065.59077320443,1062526.0762094117,7039.285140349227
33,0.0,3591159.943535879,571532.8985467306,131308.2901961139,1058699.3851211164,7987.594121280182
34,0.0,3585102.9140293538,569395.2007155179,130442.42760993137,1054435.5491757975,8196.704569599231
35,0.0,3577741.1483157505,567781.0566881578,129728.93407395783,1050415.21784386,8066.417886861633
36,0.0,3569835.648788458,565980.8299979898,129023.4160197723,1046519.4452860075,7748.951468215652
37,0.0,3561383.2323776246,564298.9669923747,128298.49174775532,1042646.8782085058,8568.23591995123
