,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,2330955.192323812,390766.0194799778,50291.23677870075,810056.2457865222,3593.7982537024423
1,0.0,2329753.9969116733,389005.52431140153,50033.02503745163,807148.8143233715,3239.042920427026
2,0.0,2328668.732352472,387312.7021764111,49706.80268068438,803714.5258738836,3545.531876631489
3,0.0,2328175.80330533,385778.84425025503,49446.97744970422,800309.758450357,3208.9121751381404
4,0.0,2327273.8801130415,384346.47994847246,49164.46411792173,797204.6354811616,3278.258249043598
5,0.0,2326131.148531626,382900.47318892437,48788.14686698814,793846.2237598529,2700.0082655764672
6,0.0,2325016.140886027,381211.72975849034,48488.88019590687,790439.2668560459,2550.0
7,0.0,2324653.1696589715,379533.9975077013,48231.67000099998,787068.2636238068,2374.110369960809
8,0.0,2323909.8945566607,378180.2441574477,47990.21887590433,783598.6036081521,2228.807322334151
9,0.0,2322953.3950643525,376658.5218085668,47689.73009525785,780440.4841845586,2086.431818511372
10,0.0,2321945.3894959465,375144.30343685835,47308.581068685184,777231.2338801894,1944.6654703441723
11,0.0,2321912.184144265,373326.2083665161,47058.674609894726,774141.7215011411,1950.0
12,0.0,2320898.9385691998,371686.7846849611,46852.43579503906,771090.5342333155,2522.575963675846
13,0.0,2319479.0424085683,370165.9728410131,46633.05515724043,767864.2121197425,2751.3566131742623
14,0.0,2317091.464675309,368721.82807119825,46459.14723877274,764719.8246026234,2538.1145515064954
15,0.0,2314854.3236550475,367063.0049961033,46144.5355589456,761967.2176496888,2658.274493932079
16,0.0,2312171.7125760242,365554.4083803451,45956.11855690851,759074.5266040781,2612.378373714112
17,0.0,2308793.541032526,364100.18661012896,45798.78539443457,755954.7719378996,2903.295226687021
18,0.0,2304846.2522649406,362606.0980539568,45551.32440957853,753038.6441469559,3025.044896003135
19,0.0,2300691.7322455314,361030.6169447199,45276.27120263725,750128.8887117391,2895.117918322294
20,0.0,2296087.3642697968,359492.5910312459,44952.963588261286,746987.372647827,2850.0
21,0.0,2291693.4948663577,357897.9055241481,44676.4196095499,743940.7599016187,3425.077085849894
