,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,3761066.570527001,696503.7712579623,99875.03295221868,1535434.922855296,7127.588579904134
1,0.0,3769865.2561850473,693582.574235405,99342.7699274502,1529626.928087065,6278.08069614494
2,0.0,3775495.4894324155,690978.4268279177,98855.25856941764,1523431.323065425,6485.930992419961
3,0.0,3779143.770535758,688558.8994853317,98403.00126489052,1517758.205171804,6038.853899290154
4,0.0,3781252.645809959,686259.9444751136,97876.39080361274,1512274.8584089545,5795.085836667621
5,0.0,3782394.765604139,683834.5151936805,97195.5920579958,1506458.2683994614,4812.695069756968
6,0.0,3783701.060833333,681084.0005179298,96597.79397735036,1500617.622387433,4431.391060095235
7,0.0,3785263.470828299,678570.8462631789,96108.63748507648,1494595.617507485,4678.978084297423
8,0.0,3786635.2709667706,676342.156552472,95471.6637151484,1488696.7195610823,4652.701890370089
9,0.0,3787804.058978125,673877.9875962813,94914.43695250747,1483102.2963759324,4605.289960704941
10,0.0,3788523.6194952107,671567.7142272264,94366.80960220424,1477295.3128210977,5064.471559060548
11,0.0,3790743.0087421546,668872.5663627308,93901.52965636388,1471524.1509018368,5194.237762654688
12,0.0,3791530.0827911515,666227.8604091996,93427.10391474054,1466368.5201491877,6084.632296143507
13,0.0,3792096.554499132,663855.2057352165,92895.31636134321,1460985.4868157625,6671.7572830961035
14,0.0,3791834.1531020664,661791.2649352711,92547.6373241208,1455448.3064102365,6555.109182944926
15,0.0,3790741.8680736697,659312.1357064362,92128.63942959122,1450382.5785974916,6649.963411657885
16,0.0,3789038.4696818767,657008.8215064678,91735.00008716065,1444863.295776318,6518.11426659143
17,0.0,3786960.3194077094,654657.4098198008,91245.27410339718,1439623.0404039803,7670.287119368684
18,0.0,3784128.5893813893,652378.7121936659,90679.73362085725,1434845.6037663787,8129.599119586948
19,0.0,3781593.336355969,650072.8422030112,90146.35202511972,1429332.1269450018,8054.642589786359
20,0.0,3778486.8964164373,647875.1862143131,89594.19057871705,1423482.8927795172,8314.595588089303
21,0.0,3774197.15168447,645571.0662052036,89160.2514815984,1417973.9771883036,8987.582140034241
22,0.0,3769953.4543532124,643603.8013375587,88642.76821421039,1412608.3046815777,8273.583308725905
23,0.0,3765466.733059879,641476.6173015691,88171.61417646815,1407461.028846441,6572.907768874367
24,0.0,3759248.543129154,639459.328217166,87780.23775818555,1402207.3722308942,6099.345432085225
25,0.0,3752921.942358819,637386.4438957629,87291.96187862566,1396953.6201486792,5822.654328027307
26,0.0,3746177.711988501,635483.7649658346,86970.76058417189,1391425.766456332,6307.688653822181
27,0.0,3739309.023884335,633540.6192071497,86575.6021657267,1386227.1498316873,6678.15939866539
28,0.0,3732447.3907274585,631894.349518582,86077.37753641233,1381380.1131594763,6560.512738323557
29,0.0,3724302.7539839456,630023.8163693675,85673.83769217056,1376498.5519652143,4918.397010220776
30,0.0,3717560.608741504,627895.7340779529,85361.96027526645,1371655.6789976307,5256.232446176625
31,0.0,3708701.363008553,625782.1933864296,84986.35422224215,1366501.2132207062,5094.325702446884
32,0.0,3699870.8843726963,624150.6312162566,84560.78308306042,1361468.375012767,4938.512874102559
33,0.0,3690981.462694898,622377.9375061796,84232.6381555429,1356645.1216153074,5482.51996305281
34,0.0,3683073.7232759134,620336.8502354049,83787.76722388087,1352082.068379371,5688.282859179192
35,0.0,3674159.111695105,618311.0066417769,83237.64697235484,1346984.3017973928,5973.880372848075
36,0.0,3665471.390481229,616173.4000117398,82787.9742490037,1342109.455907502,5762.647678095955
