,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,7826508.814803411,2454831.811410647,16121.537332021278,42213.696534719704,424.1703757614853
1,0.0,7820966.1005893545,2444362.9511511778,16080.535340016613,42028.8210078352,300.0
2,0.0,7817280.1982811615,2434048.338530035,16039.312569586422,41826.306599437485,65.34484883791932
3,0.0,7813343.834345892,2424130.7894830033,15992.603941397247,41635.5815995028,0.0
4,0.0,7810043.841403818,2413787.6910275454,15972.609762877155,41400.084731582974,0.0
5,0.0,7807608.725777249,2403819.605865474,15956.37458262253,41241.464374405085,0.0
6,0.0,7804895.235108468,2393815.862724011,15921.899405453625,41062.35558690907,0.0
7,0.0,7802339.383541576,2383944.3251643567,15915.826926380649,40869.99219978436,0.0
8,0.0,7799480.567520839,2373938.9264287115,15862.313559861432,40765.193346907814,0.0
9,0.0,7796191.4609273495,2364082.333536762,15792.849824638375,40600.836217247524,150.0
10,0.0,7790890.595722891,2354604.001593619,15723.476388677589,40426.3447229932,150.0
11,0.0,7787384.863749754,2344824.171060139,15701.166490066233,40273.94168322831,150.0
12,0.0,7782894.91682277,2334567.1409609965,15634.119831868486,40106.40006234983,150.0
13,0.0,7777173.033218437,2324035.545208581,15589.746918668636,40015.32298722308,150.0
14,0.0,7770560.856208462,2313991.425573338,15582.61438080785,39935.2713117238,150.0
15,0.0,7761759.2331390055,2304207.309481019,15580.613929829642,39780.95263187651,29.852176751251278
16,0.0,7752838.676001071,2294746.856515004,15542.837550747116,39664.726716488265,0.0
17,0.0,7741587.119991058,2285067.64262659,15448.981595923156,39450.02964769904,0.0
18,0.0,7727821.603390415,2275537.289161536,15410.293865748545,39260.64743111157,0.0
19,0.0,7713228.976053097,2266211.7331108837,15356.38090176586,39109.166016865514,150.0
20,0.0,7697799.9018610045,2256469.3404742163,15286.334258482946,38933.54695208732,142.94419848522935
21,0.0,7681315.02052422,2247078.177661035,15258.827264621717,38783.40842001288,0.0
22,0.0,7663205.159615393,2237513.553449613,15252.645265952746,38650.946186966736,0.0
23,0.0,7644269.640677322,2228125.411493063,15204.232401652003,38503.04678382062,0.0
24,0.0,7623588.418521658,2218967.2306276388,15179.84931691719,38339.515204301686,0.0
25,0.0,7602772.577762336,2209418.695637647,15120.850637487081,38141.06463460884,0.0
26,0.0,7580755.98732335,2199358.0187575226,15109.497391212122,37942.70381428441,0.0
27,0.0,7559870.022783562,2188897.2487656907,15060.27421136543,37765.70258077536,0.0
28,0.0,7536575.662089411,2178810.158208332,15009.402581446857,37639.50349301245,0.0
29,0.0,7512289.113286255,2169036.742541752,14972.713498231698,37462.824732089764,0.0
30,0.0,7487930.301948003,2159389.9690640327,14919.311887727548,37337.81590773002,0.0
31,0.0,7463150.180624646,2149763.561890916,14868.26499613184,37213.93719645711,0.0
32,0.0,7437899.480038451,2140537.4233638183,14809.507999003918,37122.403337980155,0.0
33,0.0,7412150.914854408,2131157.1686124103,14793.211675118155,36918.379780927484,0.0
34,0.0,7385743.632822695,2121309.1042993437,14738.335780026508,36742.344053874695,0.0
35,0.0,7358546.116528232,2111697.542120935,14681.411319429597,36584.97669866177,0.0
36,0.0,7330749.537179209,2102557.3523402475,14624.043682158914,36446.74812695634,0.0
37,0.0,7303572.698356968,2093127.0174187545,14540.818001455555,36253.342359077214,0.0
38,0.0,7275931.788719056,2084066.493477134,14499.94405618813,36058.683309875974,0.0
39,0.0,7249570.823436239,2074100.945755537,14453.922145543356,35902.904778196644,0.0
40,0.0,7221387.580597463,2064278.2309856336,14379.750944556614,35691.25482763684,0.0
41,0.0,7193438.8843941,2054542.2275329102,14337.690864784481,35524.4406400573,0.0
42,0.0,7164622.815554464,2045162.4911196805,14288.710860252144,35346.24831527328,0.0
43,0.0,7135443.382884492,2035369.2790095734,14225.068001862848,35177.86323382565,0.0
44,0.0,7106667.38353681,2025930.1127299555,14161.932546038031,34954.147992047714,150.0
45,0.0,7077322.8253298355,2016637.1506348306,14119.232763026908,34828.37736653162,150.0
46,0.0,7048840.230135213,2007758.364982765,14092.61923937664,34660.60625539883,300.0
47,0.0,7020557.467865226,1998363.3898795482,14086.13287156429,34458.37485161513,300.0
48,0.0,6991644.846323776,1989325.8569099563,14072.02643220481,34308.9497985565,300.0
49,0.0,6962549.655909373,1980260.7301557825,14002.771338925622,34144.0618755927,54.24875719950357
50,0.0,6932327.718914302,1970617.0622999405,13972.067041816237,33982.8109856605,106.32761651485781
51,0.0,6902096.793965401,1961290.6214531276,13946.828837520226,33786.22390826258,300.0
52,0.0,6871912.8611267535,1952066.9284649026,13915.636554245088,33611.896022847504,300.0
53,0.0,6840446.719647624,1942457.8056537732,13860.897716976391,33433.993698148646,442.45749723917146
54,0.0,6810725.951632752,1933576.1256592434,13836.848234068802,33294.445889796014,300.0
55,0.0,6781233.671600554,1924859.6933523968,13798.910996044442,33097.85643236225,232.79527922232228
56,0.0,6751869.193478183,1916069.7288047308,13768.13202874773,32850.382192450576,150.0
57,0.0,6722400.930482082,1907131.3899678835,13722.696409093294,32640.137547677023,150.0
58,0.0,6692185.457908152,1898586.834043159,13687.477749056457,32471.484679559853,158.28644082941253
59,0.0,6670840.011402599,1889391.2158507467,13646.020562234022,32231.159530663823,150.0
60,0.0,6672656.297085732,1880691.5962943237,13575.676518095412,32043.331846120385,80.32481534639896
61,0.0,6641690.941395771,1872285.675688803,13554.224677603588,31859.145919436378,150.0
62,0.0,6610410.713936319,1863667.0989723897,13505.808093708718,31649.819042673353,150.0
63,0.0,6579261.736490442,1855236.227817211,13464.580589633808,31476.594843919967,149.8294022026643
64,0.0,6547319.25733867,1846663.1717486999,13431.069339851858,31320.403483852006,0.0
65,0.0,6515792.280242092,1838134.7323942296,13352.27831715564,31183.033292823344,0.0
66,0.0,6483774.6827422585,1829136.3889663147,13310.233193398955,31005.248183639756,0.0
67,0.0,6452044.999828564,1820490.8379816047,13285.688951175496,30774.028361440458,150.0
68,0.0,6421168.555489418,1811322.889805221,13259.403981690086,30635.423501785393,150.0
69,0.0,6389232.802057805,1802250.4393746993,13229.07765636969,30555.370602092422,150.0
70,0.0,6357602.552808166,1793426.2060896577,13226.538288097003,30392.369604329604,116.80834688543534
71,0.0,6325315.156260179,1784630.475561414,13190.156118752742,30208.43106667904,0.0
72,0.0,6293453.627497553,1776286.8799845118,13148.591038987348,30046.42662954625,0.0
73,0.0,6261210.948879603,1768018.9647075755,13114.888771492153,29899.26634075127,0.0
74,0.0,6229501.132991958,1759284.0298978873,13102.728027152336,29748.399986302764,0.0
75,0.0,6197286.534901641,1750704.00104642,13075.468452940237,29617.173017396562,0.0
76,0.0,6165568.719824242,1742465.7798704584,13043.977573898172,29520.10726829604,0.0
77,0.0,6134218.258336252,1734033.277355807,13002.801958828837,29407.384729351983,0.0
78,0.0,6102351.273337473,1725745.4892297136,12965.786020873984,29274.110182571072,0.0
79,0.0,6071111.275450562,1717399.514247943,12898.436443141216,29094.996485058207,150.0
80,0.0,6039989.3190303305,1708969.514946347,12829.790032842284,28914.71270830374,150.0
81,0.0,6007926.861420655,1700670.7015754445,12777.994550268973,28724.27399142486,150.0
82,0.0,5975303.096870987,1692101.2597884804,12755.498861656546,28560.31799927872,150.0
83,0.0,5944048.073663637,1683490.202587277,12757.324274522118,28452.825204732853,150.0
84,0.0,5912829.445158948,1675143.269197086,12745.984956953684,28339.687172842467,300.0
85,0.0,5880106.175593846,1666971.8747255225,12699.302600320954,28128.988087815596,300.0
86,0.0,5849049.477754073,1658647.3183383022,12692.82895613436,28018.234997112108,279.91030606697194
87,0.0,5816756.849769976,1650124.3060259018,12689.69595603735,27882.306360979896,37.20651569987922
88,0.0,5785925.84954733,1642081.7714495705,12698.156902605584,27715.897347041726,300.0
89,0.0,5753279.699637413,1634142.5255425444,12724.606274751388,27565.779912937884,300.0
90,0.0,5721541.585267804,1625891.9331560999,12718.159699761098,27474.727932377627,300.0
91,0.0,5689607.836276833,1617480.5267610669,12704.852201684951,27368.92949241837,300.0
92,0.0,5658268.093460181,1609357.5685015165,12702.529810840484,27265.311442499675,394.10977853576424
93,0.0,5626896.308077197,1601254.5601282516,12703.537217803727,27157.136418610404,450.0
94,0.0,5595659.093511856,1593498.1376072445,12655.534581330341,27017.07029965332,450.0
95,0.0,5564014.000341228,1585634.3390766021,12625.788075515953,26874.097781347104,450.0
96,0.0,5532531.821171505,1578027.9936117597,12660.512883163643,26754.051316291894,427.03343787527626
97,0.0,5501093.677629981,1569990.716669126,12698.494611128366,26654.885789996148,288.98425838026265
98,0.0,5469765.054998244,1562271.1637317445,12743.296224599919,26513.167020517438,150.0
99,0.0,5439040.535278639,1554668.1514702425,12760.146795262151,26373.085320978476,300.0
100,0.0,5408003.811477405,1546367.1626678163,12769.817397199122,26229.187301076774,201.9176833585227
101,0.0,5377414.425889923,1538541.8500756025,12795.40648486249,26140.220842212075,150.0
102,0.0,5346219.12292025,1530683.1360763328,12802.523811013321,26021.07453848727,150.0
103,0.0,5315547.12023227,1522580.4085070102,12851.067450109807,25926.407313190575,114.30345999642554
104,0.0,5284293.866355539,1514690.0143303534,12874.605447311995,25830.229972312158,0.0
105,0.0,5253541.361443641,1507051.4318808015,12938.966402527105,25694.341714534214,0.0
106,0.0,5221206.069466561,1499795.0943284729,13011.214881265012,25569.091554155464,0.0
107,0.0,5190310.994495647,1492350.7474962045,13064.795707126168,25487.059105997898,0.0
108,0.0,5160001.558276789,1484961.1102449847,13128.449859621238,25383.860425774554,150.0
109,0.0,5130151.840215607,1477076.2370466087,13216.91846612319,25273.885765047144,150.0
110,0.0,5099997.820392039,1469616.7162490413,13330.62325115073,25186.06925988191,150.0
111,0.0,5069115.885240396,1462034.9159789002,13470.08438583723,25118.69754775163,150.0
112,0.0,5038397.465659583,1454359.6952785414,13554.729298183656,25000.21144248941,69.70336954388574
113,0.0,5008330.583582174,1447025.5081303627,13619.85050945601,24903.71745750104,0.0
114,0.0,4978077.00636422,1439420.9050681405,13741.854614100437,24787.978291944484,0.0
115,0.0,4948029.839042352,1431435.5914455508,13822.709167185149,24617.311965004013,0.0
116,0.0,4918169.0843919385,1423792.465428202,13811.168549129976,24436.237251534723,0.0
117,0.0,4889029.808917884,1416144.7476136421,13820.196933375722,24300.51800994185,0.0
118,0.0,4859643.540834547,1408802.1014557497,13862.401310810614,24224.516466311157,0.0
119,0.0,4829794.077434824,1401220.7038918545,13860.671190008432,24137.46706607927,0.0
120,0.0,4800808.821397595,1393965.4627818877,13906.316463332718,23997.947300353913,0.0
121,0.0,4770962.185254421,1386725.2763785026,13960.124287879362,23874.443276670896,150.0
122,0.0,4741426.289400928,1379300.1333581428,14044.514900993603,23689.034927898956,150.0
123,0.0,4712516.262391316,1372044.0185152986,14063.91956551083,23551.19819608996,150.0
124,0.0,4683343.156242382,1364332.6244002606,14049.99538133167,23448.215470488907,150.0
125,0.0,4653959.6998831155,1357179.4695691054,14043.479983728843,23298.884906471383,150.0
126,0.0,4625536.365976415,1350044.6595853337,14042.572105350977,23161.071079419027,150.0
127,0.0,4596731.96829419,1343278.2782697093,14002.192410084757,23011.173794123035,61.83120840720299
128,0.0,4567402.441047922,1336300.279314338,13929.653941618613,22937.958839466457,0.0
129,0.0,4538247.497032311,1329123.9748023818,13859.923890734539,22821.965733818506,0.0
130,0.0,4508945.8466033405,1322047.2260064895,13785.018685399182,22611.74181723181,0.0
131,0.0,4481055.869688439,1315172.0189044508,13746.699956772776,22390.31375247514,0.0
132,0.0,4452841.377428675,1308199.4472317544,13734.699795448083,22242.87745191138,0.0
133,0.0,4424854.551807187,1301123.1712983944,13739.369528808638,22057.74560141832,0.0
134,0.0,4396963.448515783,1293979.507079636,13698.367972603735,21900.26079372058,0.0
135,0.0,4369053.069300645,1286546.8019965012,13655.351410626441,21748.529828491854,0.0
136,0.0,4341422.91277902,1280104.7310877717,13640.563004177993,21662.7702393105,0.0
137,0.0,4313487.937912208,1273405.869648592,13631.422639991319,21589.23550845884,0.0
138,0.0,4285083.179668918,1266483.1865535781,13621.335569779416,21448.64126715137,0.0
139,0.0,4256569.392269663,1259729.467102539,13565.228699917208,21244.137618170756,0.0
140,0.0,4229604.234404952,1253079.9705844817,13520.016867616932,21157.43712515553,0.0
141,0.0,4201822.773166791,1246453.841666097,13448.47659874543,21063.526488545893,0.0
142,0.0,4174730.4464736725,1239656.0603991554,13408.453450564286,20981.861316495815,0.0
143,0.0,4146638.0313272867,1232615.5210003343,13350.588374995907,20827.895556905612,0.0
144,0.0,4119495.972600177,1225948.5241240908,13355.737990159221,20686.156759982045,0.0
145,0.0,4093257.7792653246,1219075.798494432,13276.382538409367,20548.74145073441,0.0
146,0.0,4066564.579088179,1212172.734755037,13215.502955434209,20353.66463277536,150.0
147,0.0,4040322.0613567936,1205318.8303913178,13207.811479018652,20230.184793553657,150.0
148,0.0,4014071.408489209,1198774.9732522778,13153.078675832365,20034.197122482234,150.0
149,0.0,3988445.678251549,1192305.509289632,13114.946105037556,19848.849910240973,104.65978024220075
150,0.0,3963241.655247675,1185633.4059340674,13060.733526998207,19745.47363317716,0.0
151,0.0,3938212.460486464,1178896.5199176238,13006.160943101939,19589.0123185531,0.0
152,0.0,3912152.8734490005,1172173.792238393,12954.735151064911,19455.69452391179,0.0
153,0.0,3887111.627253289,1165622.856545448,12900.554075060263,19348.960653623486,0.0
154,0.0,3861842.139526151,1159053.7655650896,12855.445807822742,19182.829441336482,0.0
155,0.0,3836930.5639483477,1152299.8299972115,12820.644781517285,19067.81516871408,0.0
156,0.0,3811818.4941766122,1145757.4873447507,12828.134114399292,18955.977680208256,0.0
157,0.0,3787290.4739279645,1139488.0741537933,12847.244508480146,18815.765414105244,0.0
158,0.0,3762574.141976862,1133304.0476042929,12785.615265466344,18746.79375621541,0.0
159,0.0,3738324.7109410814,1126804.732081903,12723.771170673586,18622.41801903408,0.0
160,0.0,3714184.9001781885,1120422.443263726,12682.436527397864,18514.535089921937,0.0
161,0.0,3690813.419600122,1114055.1310024364,12692.63096102897,18391.375358587637,0.0
162,0.0,3667244.621383538,1107660.0222408124,12664.487041924818,18283.13450050347,0.0
163,0.0,3643222.1053500916,1101120.902563677,12632.958600174088,18174.715297459446,0.0
164,0.0,3619758.5532172187,1095204.857059881,12566.893282950945,18087.654984444787,0.0
165,0.0,3597009.157101196,1088999.983104112,12522.931335834042,18005.29305198337,0.0
166,0.0,3573921.3629079154,1082969.4834912254,12480.04247295369,17890.701065390243,0.0
167,0.0,3550490.5581290396,1076608.4939304974,12390.800195229984,17752.893347719586,0.0
168,0.0,3527557.665791624,1070544.969923443,12355.021386528213,17689.0520623426,0.0
169,0.0,3504252.899856604,1064463.5318035618,12300.020137965024,17564.104835015576,0.0
170,0.0,3481510.4373485358,1058588.6358249777,12240.385900993024,17416.221014174782,0.0
171,0.0,3459594.543382577,1052705.6962518394,12176.870320718119,17358.405206038395,0.0
172,0.0,3437334.5387425306,1046668.1937998933,12111.775404733733,17266.962357607536,0.0
173,0.0,3415237.308018108,1040873.9766297732,12060.609906098562,17160.487593223144,150.0
174,0.0,3392578.7674229043,1035276.0093638125,12016.073868386542,17026.595043556285,150.0
175,0.0,3370692.6053615427,1029364.1508231938,11994.297600239157,16915.971395731805,150.0
176,0.0,3348583.067482391,1023628.8472523679,12029.611397169607,16803.270820177528,300.0
177,0.0,3326102.6072227918,1017463.5477321033,12007.032442920912,16708.532987047,300.0
178,0.0,3304536.52323322,1011728.3367646452,12006.182810072094,16560.005879176155,300.0
179,0.0,3293517.5307990564,1006112.4962583574,11967.74872512339,16458.338476852008,450.0
