,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,12655258.219768642,4381309.07632576,23846.13694287352,69069.38743996914,548.6160777532077
1,0.0,12684391.930099117,4364584.473231439,23763.345576724074,68790.69710950203,300.0
2,0.0,12701520.307078151,4347734.566800135,23689.2090248166,68443.01488231316,65.34484883791932
3,0.0,12711790.435850171,4331582.794720323,24038.712597818667,68133.08756852361,150.0
4,0.0,12717374.63698581,4315218.009016302,24036.681402086764,67848.56555412081,300.0
5,0.0,12722158.763439024,4299283.772205655,23893.678863817004,67581.31129769383,269.3110272679783
6,0.0,12724903.49084444,4283445.840591164,23513.162660505855,67281.39589634977,97.83166713427872
7,0.0,12728447.9730539,4267845.996575232,23492.288351135867,66972.80287893733,0.0
8,0.0,12732804.87769845,4252186.429313387,23399.684445191346,66815.57001052948,93.66743374566883
9,0.0,12736496.270106334,4237024.667041944,23284.64790615341,66537.47291244261,450.0
10,0.0,12738126.545435162,4222243.15654481,23198.13340565952,66267.71848862547,450.0
11,0.0,12741133.812869057,4207592.770815576,23084.298262149965,65287.01702232674,438.14334738336294
12,0.0,12742702.809395667,4192277.161964436,22961.929283311354,64878.327311165114,300.0
13,0.0,12744672.268808834,4177232.6282831547,22924.276191014567,64693.78214170308,221.88102777224356
14,0.0,12744051.245829893,4162357.654730811,22870.602347951215,64478.56003836646,150.0
15,0.0,12741889.233309466,4148109.414485585,22800.19481479042,64208.819407684845,29.852176751251278
16,0.0,12738618.3871396,4134486.561482598,22731.604050696944,63971.171918597756,0.0
17,0.0,12731533.183080863,4120895.0059165237,22581.617857608344,63507.87004546002,0.0
18,0.0,12722566.958068002,4107372.5006641946,22471.61838899621,63165.554716184866,0.0
19,0.0,12711534.718627922,4094390.182606423,22364.957996878078,62927.96277147431,150.0
20,0.0,12700456.31011652,4081134.200221294,22285.734208470392,62665.42750916765,142.94419848522935
21,0.0,12686531.193842314,4068670.127690992,22183.175606143654,62401.6919569562,0.0
22,0.0,12670811.637775872,4055786.864245879,22113.8508077693,62165.91740229537,0.0
23,0.0,12654310.06884549,4043191.3172049453,22069.105544325244,61872.802599445065,0.0
24,0.0,12635269.069473052,4030942.3199200896,21994.40952738103,61657.569842403595,0.0
25,0.0,12615192.018493418,4018538.835215833,21898.2319303917,61360.372307375816,0.0
26,0.0,12593716.878563501,4006471.099957234,21862.31062717744,61072.31330214933,0.0
27,0.0,12572362.562432857,3993782.104753442,21781.201140477166,60806.75497113564,0.0
28,0.0,12547953.56347039,3981324.7922041267,21677.292267969384,60571.856351242066,150.0
29,0.0,12523080.62071433,3969288.798561021,21590.40520227475,60240.654353057995,300.0
30,0.0,12498114.605392063,3957611.170021794,21475.78057890643,59813.87454269253,300.0
31,0.0,12472178.209753098,3946297.3881025733,21363.383649429605,59428.613791206684,226.9800338153056
32,0.0,12445363.804484688,3935325.321688007,21269.154332025926,59211.95931666434,150.0
33,0.0,12417028.68862424,3924218.5157822915,21185.24805695801,58869.59889880402,443.72292996575334
34,0.0,12388073.284944441,3911918.3288133894,21079.02760130121,58580.00568882522,300.0
35,0.0,12359588.437264057,3900096.5965570547,20985.98818493739,58335.50520361607,158.88687901621643
36,0.0,12329482.277190452,3888693.63479889,20862.656257420997,58082.914323446916,0.0
37,0.0,12300136.911823468,3876943.84690365,20596.339510916787,57823.81962387875,150.0
38,0.0,12270540.251211055,3865720.921067988,20520.910892041982,57512.717694606996,150.0
39,0.0,12241432.154478328,3853636.4401230467,20436.169941035652,57228.66152082475,300.0
40,0.0,12210527.34286928,3841941.034736729,20302.806543590792,56932.503314730486,270.8135764426808
41,0.0,12179955.663937707,3830349.9997225297,20208.60996267789,56618.44243421,150.0
42,0.0,12147890.123503255,3818690.199438152,20126.367316868153,56298.611709163924,155.95733441075706
