Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,9795132.78826603,849855.7289902875,29382.878310589313,408247.13269683655,1297.7210680454036
3,0.0,9846698.492969856,846332.1141847409,29203.67585329298,406787.92749519134,1516.3717809427221
6,0.0,9870939.00569768,842704.0241161,29054.020658555768,405180.25586166896,1541.3701218583851
9,0.0,9874190.689448401,839099.8782096435,28849.20220063946,403462.5293176358,1435.4813048077863
12,0.0,9863415.294394612,835628.9738117803,28683.55474680889,401851.4925176455,1432.451321336609
15,0.0,9846954.97753103,832025.0322062052,28622.454573768115,400104.46277391596,1271.1449490411376
18,0.0,9826355.709703047,828386.3683525766,28538.650519424853,398425.5626354315,1624.6853281142785
21,0.0,9805862.65123359,824562.1976301357,28452.281633430634,396917.2494288524,1584.436812561122
24,0.0,9783647.272864727,821025.4493408562,28352.824821566926,395343.1344194559,1760.0355522582227
27,0.0,9759857.485021347,817134.5057850559,28236.257385524652,393599.6049532529,1730.4386723216576
30,0.0,9738003.490953755,813390.3859508389,28073.473572402072,392130.4031281919,1231.8557942640207
33,0.0,9713730.37989115,810227.840623488,27924.240765459683,390590.7309315627,1064.8673176470757
36,0.0,9689710.429407835,806867.545511757,27707.034790112695,388722.4653338374,953.9331610914879
39,0.0,9663535.116687674,803743.8468254162,27567.896059275176,387039.638533895,1050.0
42,0.0,9636945.496163579,800439.4572333548,27453.38088446686,385459.1920250551,1264.3921414399292
45,0.0,9608743.525874611,796927.4724981573,27341.345877495238,383908.63984085683,1493.2588123647056
48,0.0,9580404.989261301,793290.9678260408,27226.168035732357,382265.6449419048,1273.144997337502
51,0.0,9550385.026533071,789852.6075779398,27130.68913943154,380637.5704984724,743.0545037356101
54,0.0,9518270.244873267,786466.3806356457,27010.052187344707,379000.03112814366,900.0
57,0.0,9486522.950944044,783037.2506972963,26906.448523314684,377467.94531911466,1050.0
60,0.0,9453718.803162511,779696.3775137074,26814.276236184513,375849.92489440704,1350.0
63,0.0,9419707.006282054,776148.3492993298,26682.398330654258,374122.5700857858,1500.0
66,0.0,9384400.425886603,772572.7448874844,26460.732287266044,372633.01726706256,1583.6774601025045
69,0.0,9349633.648766194,769104.1210318648,26338.987205637713,371283.52466407395,1615.5732460175
72,0.0,9311882.100477261,765710.8127197108,26226.46306569488,369978.8960044965,1800.0
75,0.0,9273494.814689007,762194.2885431428,26073.503976724154,368615.83471184934,1704.6126252967051
78,0.0,9233910.330369174,758690.6958243254,25932.356372329647,367147.1659596573,1950.0
81,0.0,9195413.756500881,755106.5926408977,25823.47234448012,365524.26563759136,2100.0
84,0.0,9155096.410165396,751505.1849378457,25657.9069357392,364121.1242813838,2119.9236532904765
87,0.0,9113927.276068112,747960.5983321446,25498.305555612285,362583.3736874187,1806.9074397879085
90,0.0,9073059.566819072,744363.2090985342,25326.000043127675,361173.3496391719,1950.0
93,0.0,9030649.915667744,741134.2904053411,25223.89992197729,359762.75930190657,1980.6822555141205
