Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,13961981.221942766,1517654.470108901,55628.3901025709,765046.8897967476,2347.7210680454036
3,0.0,14038769.18742891,1511871.4252527521,55233.81303699869,762261.3626166037,2740.037168703954
6,0.0,14078443.389900364,1505919.7290771129,54989.25438391742,759515.0319481494,2741.370121858385
9,0.0,14090009.364691291,1499724.2173529016,54958.19664219454,756501.546930032,2935.4813048077867
12,0.0,14084696.082439112,1494299.8984098402,54631.89899788676,753844.158012053,2808.2774180023757
15,0.0,14072523.347180288,1488704.8001331936,54348.754645852154,750860.1037340118,2986.7452669735485
18,0.0,14055518.748679843,1482956.2431785595,53870.87266302123,747790.7805345184,3124.6853281142785
21,0.0,14038844.16887585,1477046.5318244647,53673.83204453728,745049.2015591989,3802.416923580664
24,0.0,14019343.775997285,1471637.437772527,53395.408627308236,742462.3709437986,3725.0881341997865
27,0.0,14000063.173196957,1465813.1988761083,53114.508359952335,739578.8543978094,3653.3841762265893
30,0.0,13981895.41418741,1460364.0751122166,52788.46799759578,736953.4183571942,2946.6121623963877
33,0.0,13960689.821042439,1455441.0337701177,52413.54167286026,733574.3778583542,2810.71228862345
36,0.0,13939978.806561384,1450139.8530742512,52142.06352610838,730395.4511405791,2304.410029115707
39,0.0,13916080.590164488,1445035.074985237,51899.48260933487,727439.3907988741,2833.4514724684386
42,0.0,13891631.714880548,1439839.5732796823,51750.64031012017,724695.5767372907,3093.4343583525933
45,0.0,13866840.531401295,1434743.6299714053,51490.40784844508,722222.1648732047,3132.826099181865
48,0.0,13841446.54765208,1429893.1269377396,51278.62860992382,719299.640642481,2583.8398020004943
51,0.0,13813072.660656422,1424928.2266572653,51006.69361272191,716384.1733916765,1943.05450373561
54,0.0,13782234.122393295,1420209.9338012422,50770.6610947845,713514.7873676415,2400.0
57,0.0,13750298.66108081,1415395.0769531606,50532.0174419554,710777.2840788336,2567.9745382863816
60,0.0,13717363.776190149,1410874.2370586866,50314.21600365074,707943.0456135944,2932.363789396689
63,0.0,13683089.33803195,1405946.5324658044,50045.63706761017,705118.7359406748,3297.834150580776
66,0.0,13648667.463252766,1401306.361489396,49726.04848834726,702200.1391159005,3233.6774601025045
69,0.0,13613964.728843365,1396898.7136689178,49475.307834600244,699802.4407711833,3536.726250117278
72,0.0,13576888.868834268,1392367.7787658179,49241.1708247492,697336.6203400805,3446.928134354731
75,0.0,13537293.539753556,1387919.800673963,49004.14301424868,694764.0282499404,3354.612625296705
78,0.0,13496450.237687144,1383674.74629347,48804.985708897286,692225.5611528717,3637.323465686218
81,0.0,13456441.899759207,1379195.5399122117,48556.55775284428,689499.0564002282,3651.244601759301
84,0.0,13413083.137121262,1374663.0673832388,48250.00023739654,686982.397997312,3867.1518062142163
87,0.0,13369505.432067405,1370328.3955049897,47945.23095401752,684357.5617358251,3257.465046073061
90,0.0,13325726.314699903,1366013.434371034,47685.831291503215,681906.0939568754,3515.8818469923535
93,0.0,13281136.09481928,1361855.4422637527,47487.825335584464,679539.6415653377,3631.876511780377
96,0.0,13234738.793240424,1357754.399750892,47244.01217134037,676996.5577400704,3271.26794468539
99,0.0,13187605.98638909,1353438.3171749848,46914.89923703189,674243.7958829848,3792.9574942972013
102,0.0,13141366.006759899,1349595.1541033247,46718.20298350575,671765.877749827,3723.4535397050395
105,0.0,13093764.023469757,1345766.9084853434,46427.59138753847,669220.3299461033,3698.2747602394365
108,0.0,13046555.353356406,1341550.1383104762,46243.797547016744,666597.8725653545,3789.6372366489313
111,0.0,12998422.929857751,1337548.856714339,46006.51315463152,664246.1781334057,3559.72107026362
114,0.0,12950624.26078668,1333554.160496791,45724.82455157589,661896.4506147206,3180.546611701148
117,0.0,12901843.72487618,1329485.0373632023,45358.04347933421,659573.8741541377,3106.9095196601584
120,0.0,12853576.553458385,1325429.9398436882,45070.18633294277,657154.1103998113,3150.0
