Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,3458357.363196913,365395.9854383818,78029.02941108595,629245.8093193098,4457.981995639117
3,0.0,3474010.439345374,363809.5885258125,77469.58947587205,626848.9079075572,3945.3735837220584
6,0.0,3481621.327509974,362066.55302620336,77063.08679217586,624671.5099468965,3849.408128339154
9,0.0,3483287.8750367574,360321.242810169,76584.82481983502,622215.0734035585,3514.3999291329615
12,0.0,3480213.812839832,358707.12951871916,76148.51214777693,619788.6302456125,2963.0205231292066
15,0.0,3476568.4230767107,357080.4471778174,75697.6177776203,617355.1532800801,2610.706053319243
18,0.0,3471848.783665823,355302.1725476318,75230.56833004982,614864.8268988484,2620.828756532944
21,0.0,3466485.7177849715,353703.63491650636,74785.02819401372,612368.0430006941,3150.0
24,0.0,3459931.894560935,352499.28014450293,74243.30787055774,609959.683035917,3119.178487223513
27,0.0,3454392.357477849,351048.3774675819,73745.1509260138,607446.392379374,2941.5081645017844
30,0.0,3447899.9716569874,349421.0684665706,73169.13217063248,604868.5596413693,2969.0353706865117
33,0.0,3441696.931642345,347837.86137948534,72623.1353828653,602573.6453771945,3118.676830358643
36,0.0,3434572.053155843,346422.3281354966,72045.49467820842,600222.8107247299,2950.758386387191
39,0.0,3427010.834970069,344938.3564404651,71552.28825788604,597722.5851071049,2604.503858514183
42,0.0,3418730.5824292903,343586.1977903035,71050.8001678086,595525.6480898043,2280.249515274515
45,0.0,3410239.222515348,341892.3959220126,70530.67117374548,592910.3433417571,2665.2378417532036
48,0.0,3401700.476723353,340379.536932881,70159.99079569799,590424.4243748228,2850.0
51,0.0,3392178.808220341,338874.01776332397,69850.25466644269,587848.339668952,2055.841909651668
54,0.0,3382437.077012437,337317.75124123937,69376.73189806756,585504.180051751,1544.1376050584604
57,0.0,3372216.4967007563,335923.851778824,68968.05891687008,583125.7025753016,1683.3225433102173
60,0.0,3360953.816629643,334461.38186553004,68645.0603298671,580678.7515091733,1673.0755278792499
63,0.0,3349687.4005818805,332869.13898657763,68273.54540390157,578243.9249825585,1651.3153848576128
66,0.0,3337299.702947433,331406.2662124248,68003.0155144699,575930.1694565893,2540.974363757172
69,0.0,3325430.514859844,329882.656706195,67587.45903954795,573667.7320260222,2639.0089442679982
72,0.0,3312836.08290245,328311.2935924988,67267.13609278612,571276.7611148929,2504.4102730527966
75,0.0,3299758.5944692446,326685.0890889346,66906.09464392188,569047.1904362023,3093.1462695599685
78,0.0,3286742.6186161106,325195.8252739621,66617.56528418101,566665.787456403,3698.344665172317
81,0.0,3273244.340008504,323720.072362913,66226.23093586696,564538.1798295521,4545.1881733276105
84,0.0,3259299.1411715643,322183.4081482447,65835.30504630889,562412.6395401154,4718.160284208119
87,0.0,3245516.16803279,320586.5603653679,65590.70835020239,560397.20882774,4251.931839187692
90,0.0,3233516.1454921635,318952.9171113778,65383.65559749555,558027.6204648272,3431.393527596924
93,0.0,3218745.498814267,317487.32298186736,65132.377150247965,555572.0559233841,3267.4643003784713
96,0.0,3203201.990709724,316091.32851324166,64855.81603683564,553291.4784956973,3274.689219413497
99,0.0,3188083.0315071456,314720.1236385318,64514.74902654009,551016.1057519321,2617.9228716578864
102,0.0,3173695.4271659,313133.58742987004,64169.86975098286,549001.6877506063,2550.0
