Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,4935101.862607591,647080.2302105915,158961.85015174752,1202568.8118182486,8286.221815944598
3,0.0,4958361.8356863465,644376.7460673796,157905.65618409967,1197994.2815769736,7969.201886629556
6,0.0,4971672.221667403,641543.0009730067,157238.99718072911,1193755.4016569857,7762.068911026107
9,0.0,4976740.103155609,638726.049797331,156666.08347645175,1189236.1424196078,7129.746557790005
12,0.0,4976054.820190561,636309.3539879061,155824.11156703177,1184925.7024156577,7351.617022388269
15,0.0,4973642.475336688,633810.4738716094,154980.5726792011,1180406.2848703144,7346.330796903065
18,0.0,4970958.309563,631044.5144827708,154002.87494113625,1176044.7430112993,8075.021341998596
21,0.0,4967773.112524882,628404.7500956131,153196.7147784776,1171776.5253780282,8784.106127318122
24,0.0,4963570.950178899,626240.8178168378,152128.93401019712,1167466.7707454613,8349.706208029831
27,0.0,4960219.307030929,623830.8568230779,151321.9285475082,1162915.30145343,7735.694243683842
30,0.0,4955868.274020884,621323.550452789,150411.38185213238,1158431.3873779802,8115.3662764434475
33,0.0,4951403.055509016,618949.313097972,149608.28424439346,1154080.8699106914,8345.477816009541
36,0.0,4946207.07232909,616533.2244602408,148645.19676170291,1149697.3708968617,8347.319032743657
39,0.0,4940389.002945345,614238.1864090051,147752.79672154566,1145530.4936969883,7509.856211387126
42,0.0,4934051.801300093,612227.0351957723,146865.0086036176,1141186.383510137,6586.713855954153
45,0.0,4926767.131743655,609775.5908045772,145885.80496734925,1136829.270337344,7209.571511450316
48,0.0,4919345.2893338185,607373.2515026277,144972.25073871523,1132186.5602391856,7546.285200608447
51,0.0,4910351.002853252,605259.6128707305,144269.54172180436,1127481.1380167329,6576.212471004459
54,0.0,4901498.649621317,602961.5856258041,143467.75180507352,1123181.4103689876,5643.203926276051
57,0.0,4892007.434783991,600863.554077975,142726.36190862174,1119196.9047422938,6557.929389557762
60,0.0,4882017.209514787,598596.9846195896,142124.99767150928,1114780.5353725946,7046.04548905847
63,0.0,4871027.471765643,596242.77268982,141388.48193514848,1110399.046102434,7102.561298857972
66,0.0,4858883.608390606,594202.6927284717,140663.9856096877,1106294.1120612384,7889.7312511936925
69,0.0,4846862.0388579145,592128.0921410476,139906.15813263523,1101908.829352214,7455.749532876678
72,0.0,4833884.8449270325,589963.9364931348,139184.30998175684,1097503.3762966874,7968.736337003817
75,0.0,4820245.020151314,587706.189981479,138459.44894473033,1093453.0066372748,8389.0119529826
78,0.0,4807110.708883449,585713.1033523838,137787.70667851222,1089423.0091652947,8701.003443590545
81,0.0,4792802.244309258,583805.8719469798,137018.3889083988,1085309.6390669064,9067.795541948199
84,0.0,4778502.37363871,581990.348123339,136180.46046098846,1081359.9144107848,9459.763948292926
87,0.0,4764243.788038677,580210.9840600647,135495.30412195664,1077428.6673501935,8934.261281625544
90,0.0,4751609.555635946,578066.2704208466,134881.2994045426,1073307.399478216,8521.533877951242
93,0.0,4736349.80643866,576165.2855245688,134391.6751064963,1069157.49380341,8502.028316876424
96,0.0,4719761.453532055,574322.7976128049,133733.79900317302,1065122.0289614305,8615.255302793174
99,0.0,4703210.411404638,572452.3396957326,133103.75194392327,1061118.306001694,9324.268548814358
102,0.0,4687938.396673648,570404.8757324601,132402.04010240216,1057481.8873026823,8712.69178119802
105,0.0,4671854.493523201,568480.9978938268,131712.46014396718,1053983.4738189222,8875.251342362477
108,0.0,4655872.260737798,566710.1126440725,130971.18034078297,1050128.1211252222,8473.044528912495
111,0.0,4638912.3493164275,565202.3124423414,130334.40055832203,1046405.7914036593,9265.359161095894
114,0.0,4622272.876351437,563251.7016501441,129792.00067854948,1042507.1153146052,9860.056785576475
117,0.0,4605692.8086283915,561292.2635511713,129130.97091595885,1038804.3758915624,8627.42152869199
120,0.0,4588178.148102271,559341.156356765,128442.58760526023,1034697.709366028,9045.057169975822
123,0.0,4571316.769983018,557329.5291367604,127935.21984491726,1030809.1890075293,8845.543378110526
126,0.0,4554519.760802782,555588.1425004234,127315.7204599251,1026903.9070774292,8672.548393303821
129,0.0,4536758.187799283,553796.839297798,126789.21293329117,1023330.139076551,8692.884494737413
132,0.0,4518790.977292712,552028.0657200143,126235.59416213243,1019910.2211250478,9164.547846100435
135,0.0,4500730.940984996,550450.4738448043,125801.84719183926,1015966.024193757,9986.634025643345
138,0.0,4483155.138233103,548767.3782417622,125269.4714587158,1012341.2709046146,9850.39865017927
141,0.0,4465565.780622289,546892.3142435967,124779.52984910592,1008289.3890661323,9584.938480328985
144,0.0,4448068.97166129,544915.327875565,124053.79951080846,1004455.1005910924,9104.631761849878
147,0.0,4430344.063571239,542880.8015249153,123544.43480958285,1000506.861837554,8683.559349296578
150,0.0,4412312.0700647645,540934.3747734926,122999.16204226925,996723.1381875246,8307.850770848865
153,0.0,4394689.9659597725,539107.6347858243,122602.03827960943,993324.442719986,8696.174926435953
156,0.0,4376203.496691275,537060.7402304113,122100.90418711893,989951.6674709609,8192.7745139814
159,0.0,4358576.978027602,535110.1988965583,121475.17441027556,986229.4588117579,7812.701837295428
162,0.0,4339873.591757665,533157.3882556555,120934.29818958437,982549.6605724312,7753.547557508973
165,0.0,4320707.66604065,530966.4030323063,120423.81073942845,978606.7653999946,8954.964840385801
168,0.0,4301162.262942444,528992.7543376773,119877.82153045153,974957.6995957335,8878.838969055516
171,0.0,4282158.779483637,527126.3677280772,119383.6797595557,971448.0894064317,9477.446901322575
174,0.0,4263096.211782664,525258.3486854752,118976.08080152089,967830.6847790632,9680.014065645688
177,0.0,4247201.380053167,523150.9118630838,118406.72900772034,964240.3160532599,9519.6236677634
180,0.0,4238467.555586282,520836.1013484242,118013.75674779362,961020.5852187978,9675.273883618514
183,0.0,4218851.080610772,518727.5485914514,117518.4124643385,957650.1581071067,9246.951498140625
186,0.0,4199387.281050574,517010.31578978477,117066.73781275537,954463.2178137223,9480.295049931665
189,0.0,4179823.4258647845,515104.15064050123,116601.14773787317,951139.4986015297,8880.915912572957
192,0.0,4159531.437768557,513213.3643750242,116379.72086620617,947735.3257691981,8249.160335122093
195,0.0,4137959.700027297,511227.67582863546,115997.0177797708,944608.38778974,7544.350713045006
198,0.0,4116872.13522956,509330.6409557837,115573.51314194029,941222.7671224806,7227.231967361062
201,0.0,4096948.6851515262,507193.4460105247,115071.41029458909,937929.2081614777,7128.987965153356
204,0.0,4076777.896473908,505341.4073044042,114549.33582627721,934624.6326750559,7489.574962454733
207,0.0,4056651.628894082,503228.1285110577,113873.00828611362,931291.6030104588,7794.0030259116065
210,0.0,4037095.406934404,501234.99765566125,113444.70665470508,928197.0203085679,8356.44421385266
213,0.0,4016751.148591373,499299.08711002837,113098.66938548931,924969.711800463,8546.613625015963
216,0.0,3995780.701820105,497247.47628674365,112633.06292555045,921906.5169046519,8643.946783534404
219,0.0,3974454.8877053116,495331.5328978937,112303.22273959464,918534.1533609319,8803.280778286047
222,0.0,3953516.421719265,493449.43415004644,112043.3937668498,915250.5604708927,9259.565561098098
225,0.0,3932757.2282405095,491549.6439285472,111668.96667298631,912152.0310050942,9065.129204734036
228,0.0,3911916.9963086485,489515.27968242153,111378.55229196743,909062.8947624365,8220.018133291658
231,0.0,3891102.20943028,487339.7711752119,111021.49280916037,906340.4752996367,8599.98883837557
234,0.0,3870215.9575067232,485540.8220041423,110596.13941173954,903430.9063532905,8443.021053658798
237,0.0,3849612.28774905,483662.75539358775,110307.25054119405,900512.3446821764,8422.528728724152
240,0.0,3828794.358634982,481736.15183305205,109920.92398087145,897670.3451828809,9056.794500451138
243,0.0,3807785.830538841,479784.42134145065,109651.56598583731,894377.5284052131,8677.914729981556
246,0.0,3787066.1365633663,477473.284161935,109359.78105041066,891384.4358500203,8221.162991232402
249,0.0,3765398.235785389,475378.1419505344,108880.25162617766,888430.6806818354,7889.231050668286
252,0.0,3744415.7649071123,473496.86686035,108677.32173001449,885414.418427212,7569.900099264465
255,0.0,3723414.0941867344,471406.786864248,108427.31522026222,882786.638775191,7399.032790082408
258,0.0,3702564.694346344,469163.32273049536,108058.58378202394,879836.2086288198,7092.778389814762
261,0.0,3681356.255739178,467041.10546733014,107814.2676469891,877339.1055475569,6479.50390301253
264,0.0,3659834.3955549453,465019.11358819774,107401.68070574812,874724.1887273258,6099.67838524128
267,0.0,3638917.908012731,462998.99672493315,107046.16343466353,871642.1605419584,5768.599368216232
270,0.0,3618159.3756360165,461181.4755524226,106670.85760957483,868761.494968991,5594.2897344067915
273,0.0,3596989.1336654425,459376.7794869317,106379.67157119946,865887.9691291053,5066.2694722424485
276,0.0,3575312.1860274915,457441.01617583924,106268.40309536312,863237.2161202214,5271.0379543654735
279,0.0,3553876.642573837,455484.59902496735,106033.69652263216,861853.0787469916,6009.298477797283
282,0.0,3532598.3243257143,453536.1537259718,105804.2377873883,859022.3654945369,5732.994843305465
285,0.0,3511535.185196883,451732.14062397066,105502.94916873558,856424.2870477906,6400.359174302119
288,0.0,3490291.8872047937,449826.4438957985,105273.8352243352,853899.5921806071,6757.331175087715
291,0.0,3468974.4369676667,447985.3067411847,105049.96770502982,851370.5187391838,7568.017573116676
294,0.0,3447854.4902303824,446143.22032923467,104819.03781974109,848677.7009093001,8093.754578200488
297,0.0,3427683.834581392,444227.3605504404,104639.44660007505,845787.320438639,8678.852302591717
300,0.0,3406989.3688068795,442074.51338474767,104373.92068635218,843099.9648318399,9331.329769393391
303,0.0,3386658.915306894,440272.2027965432,104110.09896491276,840712.4102278248,8983.034172980038
306,0.0,3365812.079504097,438449.196298568,104081.2549019391,838142.3399631351,9032.044824672455
309,0.0,3345379.305431138,436291.72164511937,103973.45852186691,835478.0163189066,9226.883632592637
312,0.0,3324875.733776271,434345.3903258428,103202.10031662391,832964.830859544,8002.176081701881
315,0.0,3304292.1085660225,432272.00190122466,103131.22792863409,830273.631579094,6839.60254340607
318,0.0,3283937.827466242,430419.4324859701,103060.45521822434,827708.9095611261,6733.282910226511
321,0.0,3263704.5665156697,428604.64054959326,102840.65262952409,825167.4723917493,7221.262918245142
324,0.0,3243214.2744758856,426605.5140794541,102644.08824560349,822673.8884429291,6735.623567314164
327,0.0,3222060.5868622996,424734.613493475,102596.13607698529,820230.3578164814,6294.038641674825
330,0.0,3201193.3697728673,422774.234549094,102537.71616736936,817909.1928546038,5531.889575584062
333,0.0,3180991.146466566,420862.5149192575,102462.87732713879,815523.1743987496,5053.800863139458
336,0.0,3160704.3008738,418955.93135258486,102336.04657633154,813659.3243766767,5101.638588106679
339,0.0,3139956.9354373533,417020.3900998642,102050.17741461529,811194.9247604825,5453.054525888114
342,0.0,3119094.8483901992,417318.4235191809,101913.55274965687,808663.7996531918,5740.67492742842
