Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,3633255.8844264615,386231.97801789397,50684.611107170305,811688.0834833276,2509.9089132430927
3,0.0,3652303.649981737,384465.8126908354,50427.96312804802,808039.3427135434,2950.3747307006765
6,0.0,3660595.077372645,382972.75994052715,50117.63444436561,804761.124418502,2494.112825580398
9,0.0,3661386.586944141,381416.92396958254,49790.50297593723,801531.6705316564,3123.821414510272
12,0.0,3657298.6750560617,379994.1601723036,49540.09778777262,798281.1907554,2753.963963370575
15,0.0,3650456.8144040033,378383.26689993293,49269.031938000444,795068.1962382903,2796.0583457264165
18,0.0,3644133.3903558934,376720.7229754183,48978.51072208365,791918.2956922139,2899.9616637112385
21,0.0,3636669.139945762,375049.5243520127,48775.48170617428,788778.9973158618,3225.1744187817376
24,0.0,3628288.6559529295,373295.9071185343,48451.00667957217,785936.1402607642,3529.9375782297598
27,0.0,3619816.8610933083,371570.07402948977,48160.00310677926,782774.1858312616,3284.351226431525
30,0.0,3611133.789437698,369845.4848750286,47913.61587626317,779760.664235682,2960.8326360576884
33,0.0,3602233.803520267,368428.12359350815,47713.14363242263,776551.6214825131,3138.885185862309
36,0.0,3592846.78770227,366837.7223104744,47480.78696187885,773423.6317289798,2698.103044107658
39,0.0,3583817.056269022,364980.56186639995,47233.49511062728,769793.322473164,2647.3797711010784
42,0.0,3573980.3956847526,363426.9503292944,46921.36990305656,766677.278034126,2355.459113170587
45,0.0,3563615.5878604082,361917.61355420924,46599.521349471965,763313.3496857738,2100.0
48,0.0,3552893.0875348216,360349.8096391853,46322.1786036443,760194.6817635344,2336.2965045104893
51,0.0,3541489.3106732545,358809.9475577753,46042.78545540697,757163.3063576615,2596.9630660113025
54,0.0,3529694.7673885645,357080.36153814185,45712.288985303545,754097.4448244864,2447.561882478709
57,0.0,3517637.3559519392,355294.60255554446,45440.81962857278,750979.0447378039,1889.9859028884316
60,0.0,3504831.4221753613,353625.3964957739,45239.28066505326,748285.3179882844,1767.2889032204648
63,0.0,3491557.316019994,352013.32238385035,44997.515471587714,745502.4621855927,2041.3968602162151
66,0.0,3478896.3736565756,350426.65336084436,44799.39075644652,742826.0029050331,1478.4222406696404
69,0.0,3465970.7567395885,348849.9997017541,44552.91224093971,740065.1711704007,1783.1829076460663
72,0.0,3452522.5755199017,347387.1074393973,44275.99119713999,737187.9960512575,2100.0
75,0.0,3437893.922783362,346049.9549312573,44027.80514146475,734281.5652407844,2089.290330020639
78,0.0,3423448.5562671176,344564.9695167775,43880.95940301324,731070.4842311125,1950.0
81,0.0,3407968.339323208,342922.14595596783,43706.85928509227,727999.5529721032,1927.565917521742
84,0.0,3393023.8476639586,341289.2192353223,43530.75605951926,725239.033087088,2126.568658184555
87,0.0,3377723.7916076463,339809.89458604215,43332.268744718334,722284.7243129823,2696.7571973823087
90,0.0,3364146.5381855527,338463.0007283917,43213.74644532656,719307.6039938654,2549.5880670903216
93,0.0,3348495.4874005523,336975.4429430059,43084.63556780001,716513.6312812697,2071.0101020823067
96,0.0,3332517.054349421,335407.5548722065,42801.93947046289,713658.5617194488,1857.4855789740336
99,0.0,3316218.309620044,333970.1487836004,42599.932725026556,711130.2231186612,2004.3460802371005
102,0.0,3300469.366069581,332332.2663421647,42437.976175558,708394.5782394311,1934.0813482817591
105,0.0,3284216.213319955,330966.06589002674,42195.6643540097,705741.1451741864,1940.7985478514688
108,0.0,3268148.5228757374,329580.6355916076,41947.80377569476,703180.9240190063,2100.0
111,0.0,3252100.1691506184,327969.7347996759,41670.120539881646,700464.0448392257,2376.7600882147844
114,0.0,3235420.998078484,326461.4528525849,41346.95439280755,697774.3708003901,2258.086406964139
117,0.0,3218693.8526078435,325040.92667772213,41067.50864114975,695072.3494436741,2194.1541348740034
120,0.0,3201652.88783681,323633.14907889883,40908.286151481065,692440.7074550453,2250.0
123,0.0,3184714.777672639,322138.7773248371,40707.90882144785,689620.999473227,2542.602052448222
126,0.0,3168418.5948268203,320574.4863196806,40522.616442280036,687136.4092797288,2374.4977450852
129,0.0,3151853.477605206,319220.49896134576,40342.59018847543,684460.4652985632,2107.5631574837466
132,0.0,3135138.3064740775,317625.584162552,40081.918578206416,681671.034457642,1870.7991343049682
135,0.0,3117593.741056618,316027.68839253526,39875.052063490395,678828.6699561574,1972.2202858743926
138,0.0,3100615.4992582565,314632.17602034763,39681.362558597044,676356.4332017658,1716.3033297613692
141,0.0,3083277.3142410032,313139.9649585093,39462.444669751,673645.3314971891,1674.5395890634086
144,0.0,3066641.5486379387,311584.0715408687,39241.928246811396,670940.9742018417,2049.3492057667736
147,0.0,3049645.636416941,310137.342184344,39061.856529233264,668310.3438767607,2550.0
150,0.0,3032400.9604677744,308590.0818502923,38848.23658440611,665712.8471267156,2441.182664014889
153,0.0,3015178.37815193,307156.4770869919,38686.58332208662,663047.8973051016,2545.1758471356993
156,0.0,2998265.378412504,305783.2671308506,38474.01594859616,660332.3943882878,2535.4691872358408
159,0.0,2981321.420263714,304389.5354099293,38381.537659647045,657573.1705926228,2579.716702355696
162,0.0,2964268.6896022223,302906.12845102267,38191.6299019772,654989.8228863769,2666.736362116513
165,0.0,2947513.2680226834,301408.0734356033,38047.718427000145,652561.5497343406,2833.013862500057
168,0.0,2930068.418461006,299848.5847173047,37912.56652127155,650225.1665201318,2768.416608378162
171,0.0,2912740.1319114,298435.87422841927,37811.52449056864,647812.9027731107,2562.205807527769
174,0.0,2895515.979293771,296989.2945612908,37526.281079640874,645422.7574944776,2228.069910057942
177,0.0,2881211.2423790507,295544.22021673317,37384.97609056354,642518.0048194663,2034.1342398284314
180,0.0,2873534.262156753,294091.293766312,37236.61708174691,640058.2711248123,1903.5665135058516
183,0.0,2855625.03978909,292626.0444532089,36967.41308754575,637669.5887529014,1937.1509371766342
186,0.0,2837591.2120037163,291148.21975134074,36843.597656625934,635071.566265565,1867.6839602841978
189,0.0,2819829.5847802176,289833.2949145226,36764.33649960991,632773.2016247618,1630.370305250913
192,0.0,2801724.9168192493,288457.44641683577,36612.00561959026,630728.9088961958,1591.013332649269
195,0.0,2784545.9540730473,287040.9929883039,36526.56200540177,628239.3923780802,1574.9679279927905
198,0.0,2767821.8700142736,285706.94061969547,36420.72158262056,625769.3345326484,1495.2129841222613
201,0.0,2751317.6011941424,284516.5445995085,36297.335523303045,623397.920482473,1497.046411444312
204,0.0,2734666.707996756,283228.9443073041,36275.36989072108,621044.087074823,1800.0
207,0.0,2717467.1049489616,281819.0361423914,36111.346780714135,618836.4573157018,1839.3076440987243
210,0.0,2700268.138322563,280504.26292373077,36005.70855240292,616634.8695436574,1795.9088271471564
213,0.0,2683864.893891054,279152.40128827817,35903.24009982402,614512.8744319018,1800.0
216,0.0,2666659.855595722,277732.6671274144,35823.640717735354,612602.1082772828,1914.1348544901814
219,0.0,2650360.17337902,276344.410869274,35599.98513073844,610689.9681445906,1681.623177049602
