Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,5178381.423378404,688008.1752609656,101443.17391209898,1538826.490559141,5776.31200142029
3,0.0,5206343.198603213,685363.7343615129,100949.00104376258,1532712.3017085853,5753.163562003437
6,0.0,5220293.296557762,682768.355694419,100374.0352185414,1526874.1841735065,6030.022724604352
9,0.0,5223891.13195343,680159.4481972915,99713.30205087038,1521072.9274238944,7061.755529451721
12,0.0,5221606.689409832,677843.3292397035,99098.74160307144,1515390.7811871169,6650.633928394112
15,0.0,5215303.354639548,675281.2078213028,98512.19330602916,1509649.597714506,6575.994177123477
18,0.0,5210758.764891069,672780.7346860191,97803.43424005409,1504139.4377420652,6448.226377044479
21,0.0,5205057.373416802,670076.5023103338,97292.09013768038,1498532.399210641,6893.22246987644
24,0.0,5197726.581760831,667389.0607970764,96662.67841650252,1493247.2313007729,7879.93757822976
27,0.0,5190899.3878747905,664632.7843086005,96140.47019922364,1487821.348085508,7914.798925419358
30,0.0,5183493.427783083,662082.9002667577,95681.83312022183,1482346.9671396292,7577.490854032048
33,0.0,5176119.403481024,659966.9749857595,95210.7507012877,1476496.4188114395,8362.120784751929
36,0.0,5168021.288018095,657528.7406925012,94727.65229917475,1470551.8622294776,7635.825898056
39,0.0,5159467.813582143,654762.6260901261,94226.04565638714,1464435.345628093,7645.0973929819975
42,0.0,5150928.737894246,652553.6205696178,93709.11601149669,1458827.3995008715,7274.490084122108
45,0.0,5141656.416565146,650454.8889077341,93119.19084251171,1453340.4320673235,6966.941861122645
48,0.0,5131786.184428883,648213.8280807028,92643.72318093735,1447949.222949279,7548.00217682451
51,0.0,5121702.805343835,646138.7170296251,92118.75869960777,1442868.442361175,6789.1301634064575
54,0.0,5110858.215551945,643949.0155965139,91609.67563849606,1437418.8504036637,6075.129329775725
57,0.0,5098657.600356567,641424.7037600001,91155.39194508025,1431820.479344904,5403.980572913404
60,0.0,5086011.829476131,639121.0797288917,90794.70355345652,1426783.9948068315,5668.493251103928
63,0.0,5073069.802705817,637061.3962482668,90355.41512069799,1421766.5867963168,5828.47353778487
66,0.0,5060109.587348305,634959.5028858955,89927.38786942286,1416943.3245106726,5602.1012241057215
69,0.0,5046502.877476894,632794.3276054377,89418.6193894101,1411651.6438159442,6076.689595391643
72,0.0,5032789.687816916,630947.634344224,88894.27806161981,1406598.2106530652,7315.643616371381
75,0.0,5017279.395304494,629218.2630013506,88521.18469468564,1401393.6653222786,7359.1150186815175
78,0.0,5002371.792869259,627096.5199249268,88264.74165300495,1396033.390174727,6829.317608316687
81,0.0,4986502.529283828,624940.4083035439,87931.19664568118,1390639.4198520822,6022.923307006148
