Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,12196777.389017139,2452024.246204435,16201.490483005848,42144.906961299224,184.40188221844275
3,0.0,12260388.219537806,2441459.9994778456,16159.867938423096,42018.42212902785,150.0
6,0.0,12289865.333803188,2430950.8713564854,16103.103543676101,41765.182909177856,150.0
9,0.0,12294085.078327356,2420651.9407262355,16052.516874631438,41621.56633374754,150.0
12,0.0,12280166.467984295,2410445.0124049047,15980.187760969562,41478.99905147559,150.0
15,0.0,12258410.714987753,2400677.156138114,15955.239824800083,41291.4625854676,150.0
18,0.0,12233749.027537974,2390315.5769751947,15919.12291120453,41107.37057014974,150.0
21,0.0,12206849.175332863,2380167.8376248386,15881.148009768855,40859.803242414455,150.0
24,0.0,12179407.197074372,2370462.161856897,15816.938716916044,40875.35060056638,141.81882697446838
27,0.0,12150996.975667477,2360485.4930435666,15766.498477319787,40782.83871393578,150.0
30,0.0,12123405.154500786,2350617.080394968,15702.334145174878,40599.18757734241,150.0
33,0.0,12094106.571680244,2340482.5628914004,15691.067021186627,40418.814538254475,150.0
36,0.0,12063185.55177598,2330531.006389095,15630.698641049703,40299.01780377416,150.0
39,0.0,12030490.1162021,2320325.4829675048,15551.499225314423,40160.35346979997,33.59428903171114
42,0.0,11996965.54989351,2310410.6297218464,15524.682203678422,40043.76091017485,0.0
45,0.0,11961805.121284261,2300171.4925082154,15452.635711508054,39895.43499258406,0.0
48,0.0,11925364.003986645,2290042.6496700216,15405.427438931414,39738.07202305741,0.0
51,0.0,11888289.427655157,2280533.5383783076,15378.205017731661,39454.252709065935,58.3988338581888
54,0.0,11848995.435762294,2270475.4880797635,15327.00955206818,39227.791386833356,0.0
57,0.0,11809013.85121689,2260433.4277465013,15293.056777624668,39098.24433003493,150.0
60,0.0,11767239.581937734,2250949.2449459555,15279.27999098855,38989.87003985462,29.34531065687766
63,0.0,11724836.182650182,2241586.657401872,15247.047195955507,38840.86489862809,0.0
66,0.0,11680217.931762822,2232228.004724332,15231.43214142148,38676.438911964884,150.0
69,0.0,11635586.494677316,2222160.9074306656,15215.716676759452,38455.30761551966,150.0
72,0.0,11589824.584735379,2212136.2639007284,15187.260814051962,38293.12242603545,144.17813052483112
75,0.0,11540865.943539422,2202506.1880279793,15160.92570832821,38132.966692974085,0.0
78,0.0,11491500.269394964,2192892.808339957,15131.557401168375,37930.357808582754,150.0
81,0.0,11441014.721338939,2183546.9990346967,15079.277607454604,37803.75765313282,300.0
84,0.0,11389649.570936218,2173333.1216288954,15044.495647883236,37724.79160739383,450.0
87,0.0,11338796.02269873,2163492.174073323,15002.301213607047,37570.018830697205,556.4297595117764
90,0.0,11286546.567265186,2153996.4209174733,14964.893276399933,37348.72759480638,450.0
93,0.0,11233815.968464714,2144592.0389606548,14892.388792012445,37139.16351777845,213.3397797701822
96,0.0,11179404.173098331,2135058.8192626745,14839.412571641082,36955.8241847401,32.07353918645161
99,0.0,11126153.673217643,2125326.537816903,14819.61444949969,36849.92970198191,0.0
102,0.0,11072367.510668257,2115965.2482286785,14800.062220755755,36689.70824529063,0.0
105,0.0,11018078.987640008,2106582.1087340526,14756.010434891825,36532.81267022818,0.0
108,0.0,10963035.678929318,2097257.7526618037,14699.276439238893,36409.52146327302,115.21682969889189
111,0.0,10908656.721586343,2087951.7070632025,14634.547467329594,36331.14142543744,0.0
114,0.0,10851391.183515288,2078590.5743397474,14617.153915060067,36089.96681761107,0.0
117,0.0,10795499.517621582,2069331.3276354978,14600.72156025511,35889.074038248924,0.0
120,0.0,10740530.641439809,2060041.266633606,14566.144454333691,35745.642935777214,0.0
123,0.0,10684096.806423217,2050938.182772009,14541.620161669394,35587.90334329831,0.0
126,0.0,10628446.35046493,2042082.7984239736,14534.03834115364,35463.548321417,0.0
129,0.0,10571748.393157545,2032755.8017319003,14481.378215749992,35275.00608087838,0.0
132,0.0,10515460.61103682,2023534.6109518055,14445.086828949366,35193.75572801725,132.71517810722318
135,0.0,10459312.744701553,2014178.9650008339,14399.311721974123,35043.36089156184,0.0
138,0.0,10402229.268819897,2005013.706978491,14356.603821316432,34953.91813566558,0.0
141,0.0,10345410.589929186,1995852.8084643872,14341.557416710124,34837.72173551125,0.0
144,0.0,10288530.009635508,1986706.8207571409,14289.306120020787,34667.0164170957,300.0
147,0.0,10231508.096086489,1977472.909685342,14246.954516907863,34537.49781777576,300.0
150,0.0,10174259.217126984,1968407.5298228008,14216.471097145784,34418.83569649827,229.2281594215373
153,0.0,10117866.475262253,1959324.9126543058,14197.98516427496,34282.005143522794,150.0
156,0.0,10062222.930171298,1950340.811956516,14191.706164411367,34122.74248383385,150.0
159,0.0,10004627.988388456,1940812.619209801,14161.261941074772,33977.52347062213,215.54311369258872
162,0.0,9947338.075285804,1931587.2374421854,14110.544612919613,33793.45430931148,150.0
165,0.0,9889682.924023917,1922451.9764244705,14042.713606249952,33497.82337447775,150.0
168,0.0,9832528.494328288,1913982.9367012389,13956.886655916442,33342.441712205444,36.501651969336
171,0.0,9775207.766812913,1905064.3616149197,13913.542878767676,33193.39852950347,0.0
174,0.0,9717280.419654956,1896329.1872184246,13886.264177173234,32964.00481655661,150.0
177,0.0,9669833.634881634,1887421.2841888666,13852.63286485503,32805.889861382035,150.0
180,0.0,9644463.811980233,1878811.281446978,13841.44059173762,32682.110474000554,33.39768760325589
183,0.0,9585905.153187698,1869942.0978263156,13794.039040743997,32508.804641432976,150.0
186,0.0,9528510.405381486,1861452.230685146,13739.723604968549,32402.32265870067,40.939358489517446
189,0.0,9470116.361095706,1852978.8729681082,13682.738536661964,32310.691501902515,450.0
192,0.0,9412603.043164387,1843936.0026586526,13666.191288155991,32177.552724062414,539.27854789242
195,0.0,9354925.229848487,1835099.3053411185,13649.073003800619,32059.137856500114,96.01448131625166
198,0.0,9297443.915324071,1826435.988077159,13612.804545447858,31864.61973132407,0.0
201,0.0,9240068.81521152,1817631.5535694284,13598.696011658189,31637.942469357346,0.0
204,0.0,9182549.462835433,1808990.417728047,13580.24133080456,31470.25843853798,0.0
207,0.0,9125270.173207913,1800823.3748651785,13574.086161173602,31317.156444303706,0.0
210,0.0,9068182.645361556,1792708.1083524078,13552.048696902672,31185.714105755993,0.0
213,0.0,9010462.528969843,1784584.9906160845,13515.25891090323,31014.07291332614,0.0
216,0.0,8952874.545159718,1776084.6647483688,13476.787684434821,30863.951031128236,0.0
219,0.0,8896004.22071039,1767214.788532874,13448.454527169215,30701.76279014187,0.0
222,0.0,8838632.054690596,1758831.9193073635,13407.20387564705,30563.985898780847,0.0
225,0.0,8781884.029104017,1749886.668464322,13384.863438041266,30421.92329559509,150.0
228,0.0,8724918.434259903,1741263.9399596415,13336.774365664081,30288.613498212908,150.0
231,0.0,8668376.578536063,1732655.2580783605,13292.989854106188,30144.35957994677,150.0
234,0.0,8611550.803641511,1723957.1113030773,13273.80268670261,30001.411966168933,150.0
237,0.0,8554322.144059006,1715557.9611025243,13254.502922614603,29887.899490344374,150.0
240,0.0,8498116.949925413,1707397.715304051,13248.45388158202,29723.004500124767,150.0
243,0.0,8442965.46835263,1699018.421341039,13229.005344607525,29586.633433701958,150.0
246,0.0,8386991.09767033,1690796.800802079,13199.411390946434,29467.515398818658,150.0
249,0.0,8331107.585889718,1682780.5512299105,13154.395689549758,29285.6119469251,150.0
252,0.0,8275873.585611571,1674623.0351772434,13117.807218155038,29159.043674620036,304.3194422829883
255,0.0,8219524.972994613,1666156.7518441877,13088.004564636343,29048.802636447057,600.0
258,0.0,8164773.083198519,1657914.4542710017,13065.418302084168,28917.898429429362,557.3742453605252
261,0.0,8111502.319331785,1649833.8681391925,13071.94484206144,28803.48589320078,327.73637561641976
264,0.0,8058151.414456958,1641453.5766723868,13066.090709146038,28679.124358164358,0.0
267,0.0,8004078.167603521,1633324.4973256886,13071.119765290503,28592.268984492337,0.0
270,0.0,7949409.176899639,1625235.604913634,13043.538223392348,28380.751153663623,0.0
273,0.0,7896674.292209568,1617405.2077088226,13013.484880349646,28230.455892446582,0.0
276,0.0,7843022.320859069,1609265.6759865284,13003.721239298986,28099.937278377925,0.0
279,0.0,7789761.135799979,1601396.3651501983,12987.19457576287,27980.606316336096,0.0
282,0.0,7737098.038268465,1593514.6714580152,13025.39325753897,27803.47171987148,0.0
285,0.0,7684993.069787968,1585889.2654702323,13075.876965782307,27685.616087889284,0.0
288,0.0,7632445.761800336,1577866.5096511515,13036.758614140272,27561.60649769249,0.0
291,0.0,7579761.7770409575,1569866.2734545004,13045.273489547126,27417.789057340247,0.0
294,0.0,7526679.005161483,1561908.2579321177,13043.853383902417,27224.54249592076,0.0
297,0.0,7475050.558316984,1554328.9245459074,13048.275174806471,27070.63177186317,0.0
300,0.0,7423324.853586221,1546417.1329146258,13119.436166923851,26979.027160824095,150.0
303,0.0,7371655.267577527,1538449.4219077255,13148.993310879276,26813.179500330072,150.0
306,0.0,7320889.528624985,1530561.45612125,13169.406610291937,26703.484171859593,300.0
309,0.0,7269807.530593434,1522501.0943124425,13196.128611293716,26562.700581148983,300.0
312,0.0,7218322.968522977,1514566.6429590764,13223.14010613988,26447.809890339144,165.65735190338904
315,0.0,7168077.422690513,1506768.5662714494,13285.192379270506,26373.471188766925,0.0
318,0.0,7118197.912531279,1499201.4766224977,13387.171169990204,26222.525627562904,0.0
321,0.0,7067996.1513758795,1491791.3573781752,13488.730765714448,26060.990932656852,0.0
324,0.0,7017216.861940434,1484128.077040458,13577.068118290048,25903.65222743176,0.0
327,0.0,6967332.863291475,1476337.7974531674,13708.152032505903,25769.588520083387,0.0
330,0.0,6918630.377929658,1468905.805179133,13757.413026432421,25718.607633478423,0.0
333,0.0,6869825.3691333495,1461284.611604169,13868.831674708626,25600.867788944735,0.0
336,0.0,6819652.168382365,1454066.6244120193,13940.458479304345,25445.835700431795,0.0
339,0.0,6771193.934967434,1446285.1352492545,14033.116397851361,25302.442104269667,150.0
342,0.0,6721609.930422813,1438933.121390509,14117.500976477673,25123.192200405894,150.0
345,0.0,6672113.197156337,1431380.2697855467,14187.258447670352,24952.491657708466,150.0
348,0.0,6624280.181152193,1423620.3182112123,14198.1594281744,24787.286506537865,300.0
351,0.0,6576707.5107858665,1416459.706808018,14302.852792744558,24666.21135561356,185.9079042019368
