Unnamed: 0,Residential L1,Residential L2,MUD L2,Workplace L2,Public L2,Public DCFC
0,0.0,17367069.14718469,4377875.16369622,23563.447340027124,68572.23484281881,634.4018822184428
3,0.0,17460716.379256908,4361143.366682848,23505.686205153506,68331.22894011057,600.0
6,0.0,17510128.560909178,4343955.421363194,23438.91591553228,67950.30330914976,750.0
9,0.0,17525094.891184617,4327557.6495056385,23686.386735738524,67657.02145236482,671.9359921286092
12,0.0,17516154.790890843,4311437.029690813,23556.587543557558,67416.21700659221,600.0
15,0.0,17499246.14334776,4296203.651758998,23383.48078419087,67090.92690740968,600.0
18,0.0,17479417.324414,4280086.740475948,23030.888565869915,66811.69729665847,600.0
21,0.0,17457159.78182668,4263931.833619509,22950.59771794315,66439.31363651468,750.0
24,0.0,17433445.812134545,4248337.583678341,22802.556443507307,66395.99477479613,648.0099273008726
27,0.0,17408224.006424643,4232619.332280042,22738.109416288135,66138.03789776751,600.0
30,0.0,17384326.26735778,4217663.151964072,22641.519489652524,65893.77750264714,750.0
33,0.0,17359862.274094086,4202518.365949424,22586.538551393052,64768.31126104784,750.0
36,0.0,17333517.46554662,4187730.267553005,22463.19449595621,64396.059556867054,900.0
39,0.0,17304910.249206126,4173110.9827486905,22348.087245807677,64096.03147102625,783.5942890317111
42,0.0,17275657.428015407,4158906.1939509455,22282.934787247716,63825.072035151214,592.1368895788714
45,0.0,17244196.257867247,4144345.1384253744,22145.318035629156,63517.82366035528,480.2760705529548
48,0.0,17210627.759368412,4130089.522006984,22031.32333025425,63235.93405723979,300.0
51,0.0,17174405.702931147,4116488.63637008,21925.601728936937,62751.48162471809,358.3988338581888
54,0.0,17136453.074573956,4102351.0415916834,21827.354829120202,62349.04654278075,300.0
57,0.0,17097830.034426726,4088951.988557173,21753.92096407389,62081.855872793814,450.0
60,0.0,17056806.402080223,4076290.9066856652,21705.378441190594,61852.34494102313,329.34531065687764
63,0.0,17014212.78558768,4063584.2404844314,21613.30548787504,61615.556025854115,165.3413265719343
