"Time (seconds)","Speed (mph)","Grade (rise/run)","Key On/Off (1/0)","Engine Speed (rpm)","Engine Torque (Nm)","Engine Power (kW)"
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,1,645,197.4,13.33
9,0,0,1,672.38,180.95,12.74
10,0,0,1,660.5,197.4,13.65
11,0,0,1,665.88,197.4,13.76
12,0,0,1,670,197.4,13.85
13,0,0,1,684.62,213.85,15.33
14,0,0,1,742.5,246.75,19.19
15,0,0,1,739.62,230.3,17.84
16,0,0,1,748.5,230.3,18.05
17,0,0,1,751.25,230.3,18.12
18,0,0,1,752.12,213.85,16.84
19,0,0,1,750,213.85,16.8
20,0,0,1,748.75,213.85,16.77
21,0,0,1,750.62,213.85,16.81
22,0,0,1,749.62,213.85,16.79
23,0,0,1,748.75,213.85,16.77
24,0,0,1,748.5,213.85,16.76
25,0,0,1,750.75,213.85,16.81
26,0,0,1,750.12,213.85,16.8
27,0,0,1,748.75,213.85,16.77
28,0,0,1,749,213.85,16.77
29,0,0,1,750.88,213.85,16.82
30,0,0,1,747.25,230.3,18.02
31,0.36,0.0007,1,712.62,378.35,28.23
32,1.37,0.0007,1,741.25,378.35,29.37
33,2.09,0.0007,1,749.12,378.35,29.68
34,2.4,0.0007,1,751.75,378.35,29.78
35,2.63,0.0007,1,750.38,361.9,28.44
36,2.68,0.0007,1,749.25,378.35,29.69
37,2.59,0.0007,1,747.75,378.35,29.63
38,2.53,0.0007,1,750.25,378.35,29.73
39,2.5,0.0007,1,758.25,312.55,24.82
40,2.46,0.0007,1,750.75,329,25.87
41,2.41,0.0007,1,751.25,329,25.88
42,2.62,0.0007,1,754.25,312.55,24.69
43,2.96,0.0007,1,753,296.1,23.35
44,3.06,0.0007,1,750.12,312.55,24.55
45,3.03,0.0007,1,750.88,312.55,24.58
46,3.27,0.0007,1,750.62,296.1,23.28
47,2.9,0.0007,1,747.5,312.55,24.47
48,2.69,0.0007,1,748.25,329,25.78
49,2.54,0.0007,1,746.12,345.45,26.99
50,2.21,0.0007,1,749.12,329,25.81
51,1.43,0.0007,1,744.5,329,25.65
52,0.35,0.0007,1,746.25,361.9,28.28
53,0.02,0.0007,1,748.75,345.45,27.09
54,0,0,1,751.88,329,25.9
55,0.07,0.0007,1,785.5,164.5,13.53
56,0.01,0.0007,1,341.75,-131.6,0
57,0,0,0,84,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,0,0,0,0,0,0
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,0,0,0,0,0,0
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,0,0,0,0,0,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,0,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,0,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
