Time (seconds),Speed (mph),Grade (rise/run),Key On/Off (1/0),Engine Speed (rpm),Engine Torque (Nm),Engine Power (kW),Speed (m/s),Acceleration (m/s2),P_W (kW),eta_RB,P_T (kW),EC_cum (kWh),ER_cum (kWh),SOC,break_length,charging_break (bool),SOC_wBreakCharging,charging_power_existing_breaks (kW),charging_power_depletion_breaks (kW),charging_power_after_cycle (kW),charging_power_total (kW)
0,0.0,0.0,1.0,607.75,221.04,14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
1,0.0,0.0,1.0,592.5,245.6,15.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
2,0.0,0.0,1.0,602.25,221.04,13.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
3,0.0,0.0,1.0,602.88,221.04,13.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
4,0.0,0.0,1.0,591.62,245.6,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,604.25,245.6,15.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
6,0.0,0.0,1.0,601.75,245.6,15.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
7,0.0,0.0,1.0,601.12,221.04,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
8,0.0,0.0,1.0,602.12,221.04,13.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
9,0.0,0.0,1.0,605.25,221.04,14.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
10,0.0,0.0,1.0,602.25,196.48,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
11,0.0,0.0,1.0,599.75,196.48,12.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
12,0.0,0.0,1.0,600.38,196.48,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
13,0.0,0.0,1.0,583.62,245.6,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
14,0.0,0.0,1.0,605.12,221.04,14.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
15,0.0,0.0,1.0,601.12,221.04,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
16,0.0,0.0,1.0,599.88,221.04,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
17,0.0,0.0,1.0,602.38,196.48,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
18,0.0,0.0,1.0,605.75,196.48,12.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
19,0.0,0.0,1.0,601.5,196.48,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
20,0.0,0.0,1.0,598.75,196.48,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
21,0.0,0.0,1.0,603.25,196.48,12.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
22,0.0,0.0,1.0,588.75,221.04,13.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
23,0.0,0.0,1.0,602.5,196.48,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
24,0.0,0.0,1.0,597.12,221.04,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
25,0.0,0.0,1.0,600.88,196.48,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
26,0.0,0.0,1.0,603.62,196.48,12.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
27,0.0,0.0,1.0,601.75,196.48,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
28,0.0,0.0,1.0,601.75,196.48,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
29,0.0,0.0,1.0,598.62,196.48,12.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
30,0.0,0.0,1.0,600.38,196.48,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
31,0.0,0.0,1.0,601.62,196.48,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
32,0.0,0.0,1.0,600.0,221.04,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
33,0.0,0.0,1.0,598.25,221.04,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
34,0.0,0.0,1.0,600.25,221.04,13.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
35,0.0,0.0,1.0,601.25,221.04,13.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
36,0.0,0.0,1.0,600.88,221.04,13.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
37,0.0,0.0,1.0,600.38,221.04,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
38,0.0,0.0,1.0,601.88,196.48,12.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
39,0.0,0.0,1.0,602.38,196.48,12.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
40,0.0,0.0,1.0,601.62,122.8,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
41,0.0,0.0,1.0,599.12,122.8,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
42,0.0,0.0,1.0,600.0,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
43,0.0,0.0,1.0,602.38,122.8,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
44,0.0,0.0,1.0,601.12,147.36,9.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
45,0.0,0.0,1.0,599.12,147.36,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
46,0.0,0.0,1.0,600.62,147.36,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
47,0.0,0.0,1.0,602.12,122.8,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
48,0.0,0.0,1.0,600.12,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
49,0.0,0.0,1.0,599.38,122.8,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
50,0.0,0.0,1.0,599.88,122.8,7.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
51,0.0,0.0,1.0,600.0,122.8,7.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,174.0,0.0,0.8,0.0,0.0,0.0,0.0
