"Hour","Line Haul - Out of State","Line Haul - In State","Drayage - Northern CA","Drayage - Southern CA","Food Distribution","Beverage Distribution","Local Moving","Urban Buses"
0,0.5,3.5,0,6,7,1,0,0
1,3.5,4,0,6,6,2,0,0
2,1.5,1.5,0,3.5,5,1,0,0
3,4.5,3,0,1.5,4.5,2,0,0
4,1,2.5,0,0.5,3,2.5,1.5,16.5
5,1,6.5,1,0,3,3,7.5,15
6,5,3.5,0.5,3,1.5,8.5,13.5,4.5
7,11,3.5,10,3,1.5,6,15.5,1
8,17,5,10,4,1,7.5,9,1
9,16.5,5,12,4,1,8,35,1.5
10,9,5.5,11,3.5,1.5,8.5,3.5,1.5
11,7.5,6,10,3.5,1,9,5.5,2
12,2,5,9,3,0.5,8,8,3
13,5.5,5.5,10.5,3.5,5,7,6,6
14,5,4,10,3,5,7.5,6,3.5
15,4.5,4,10,2.5,3.5,5,5.5,2.5
16,3,4.5,6,3.5,3.5,4.5,6,6.5
17,2,4.5,1.5,6,4,3,3,4.5
18,0.5,3.5,0.5,7.5,5,2,2,6.5
19,0.5,4.5,0,6.5,9.5,1.5,1,7.5
20,0,3,0,7.5,7.5,2,1,3.5
21,0,4,0,6,7,2,0,8.5
22,0,4.5,0,5.5,7.5,0.5,0,4
23,0,3,0,6,6.5,1,0.5,2
