,Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
0,1,1,BAT1,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
1,2,2,BAT2,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
2,3,3,BAT3,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
3,3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,400.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
4,3,3,Elkhorn Battery Energy Storage System,Li-ion battery,1,182.5,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
5,4,4,BAT4,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
6,5,5,BAT5,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
7,6,6,BAT6,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
8,6,6,Saticoy,Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
9,6,6,"AES ES ALAMITOS, LLC",Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
10,7,7,BAT7,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
11,7,7,Vista Energy Storage System	,Li-ion battery,1,40.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
12,7,7,El Cajon Energy Storage,Li-ion battery,1,7.5,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
13,7,7,Gateway Energy Storage System,Li-ion battery,1,250.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
14,7,7,Top Gun Energy Storage,Li-ion battery,1,30.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
15,7,7,University of California San Diego Hybrid,Li-ion battery,1,2.5,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
16,8,8,BAT8,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
17,8,8,HEBT WLA 1,Li-ion battery,1,1.0,100,500,6.9,0.92,0.92,1.3889e-05,15,15,2050,2050
18,8,8,Stanton Energy Reliability Center Hybrid,Li-ion battery,1,20.0,100,500,0.45,0.92,0.92,1.3889e-05,15,15,2050,2050
19,9,9,BAT9,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
20,9,9,VESI Pomona,Li-ion battery,1,20.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
21,10,10,BAT10,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
22,10,10,Escondido Energy Storage,Li-ion battery,1,30.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
23,11,11,BAT11,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
24,12,12,BAT12,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
25,12,12,Diablo Energy Storage,Li-ion battery,1,200.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
26,13,13,BAT13,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
27,13,13,Cal Flats BESS,Li-ion battery,1,60.0,100,500,4.033333333333333,0.92,0.92,1.3889e-05,15,15,2050,2050
28,14,14,BAT14,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
29,14,14,"BigBeau Solar, LLC",Li-ion battery,1,40.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
30,14,14,Edwards Sanborn E3,Li-ion battery,1,11.0,100,500,2.8636363636363638,0.92,0.92,1.3889e-05,15,15,2050,2050
31,14,14,Edwards Sanborn S1,Li-ion battery,1,40.0,100,500,2.0875,0.92,0.92,1.3889e-05,15,15,2050,2050
32,14,14,Edwards Sanborn S3,Li-ion battery,1,33.0,100,500,2.121212121212121,0.92,0.92,1.3889e-05,15,15,2050,2050
33,14,14,Lancaster Area Battery,Li-ion battery,1,127.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
34,14,14,Hudson - High Desert Hybrid,Li-ion battery,1,50.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
35,14,14,Edwards Sanborn E1A,Li-ion battery,1,144.0,100,500,1.8888888888888888,0.92,0.92,1.3889e-05,15,15,2050,2050
36,14,14,Luna Storage,Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
37,14,14,"Rabbitbrush Solar, LLC",Li-ion battery,1,20.0,100,500,2.5,0.92,0.92,1.3889e-05,15,15,2050,2050
38,14,14,Sanborn BESS 1,Li-ion battery,1,100.0,100,500,2.0,0.92,0.92,1.3889e-05,15,15,2050,2050
39,14,14,Sanborn BESS 2,Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
40,14,14,Beacon BESS 1,Li-ion battery,1,20.0,100,500,0.5,0.92,0.92,1.3889e-05,15,15,2050,2050
41,14,14,Edwards Sanborn E2,Li-ion battery,1,120.0,100,500,2.0833333333333335,0.92,0.92,1.3889e-05,15,15,2050,2050
42,15,15,BAT15,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
43,15,15,"Blythe Solar III, LLC Hybrid",Li-ion battery,1,115.0,100,500,4.683478260869565,0.92,0.92,1.3889e-05,15,15,2050,2050
44,15,15,Arlington Energy Center II,Li-ion battery,1,132.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
45,15,15,Arlington Energy Center III,Li-ion battery,1,110.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
46,15,15,"Blythe Solar II, LLC",Li-ion battery,1,115.0,100,500,4.683478260869565,0.92,0.92,1.3889e-05,15,15,2050,2050
47,15,15,"Maverick Solar 6, LLC",Li-ion battery,1,50.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
48,15,15,El Centro Hybrid,Li-ion battery,1,30.0,100,500,0.6666666666666666,0.92,0.92,1.3889e-05,15,15,2050,2050
49,15,15,LeConte Energy Storage,Li-ion battery,1,125.0,100,500,2.0,0.92,0.92,1.3889e-05,15,15,2050,2050
50,15,15,Blythe Mesa Solar II,Li-ion battery,1,112.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
51,15,15,Desert Harvest II LLC,Li-ion battery,1,35.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
52,15,15,Crimson,Li-ion battery,1,350.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
53,16,16,BAT16,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
54,16,16,Coso Battery Storage,Li-ion battery,1,60.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
55,1,1,BAT17,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
56,2,2,BAT18,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
57,3,3,BAT19,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
58,4,4,BAT20,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
59,5,5,BAT21,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
60,6,6,BAT22,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
61,7,7,BAT23,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
62,8,8,BAT24,Long-duration storage,0,50.0,4,20,720.0,0.6305,0.53,1.1e-08,30,30,2050,2050
