,Node_ELEC,Node_GAS,Storage_ID,Prime Mover,Existing Units [no.],Unit Size [MW],Max New Units Annual [units/year],Max New Units Total [no.],Duration [hours],Charge efficiency [%],Discharge efficiency [%],Loss efficiency [%],Economic Lifetime [years],Lifetime [years],Install Year,Forced Retirement
0,1,1,BAT1,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
1,1,1,Redwood Coast Airport Microgrid,Li-ion battery,1,2.2,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
2,2,2,BAT2,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
3,2,2,Pacific Union College BESS,Li-ion battery,1,1.0,100,500,2.0,0.92,0.92,1.3889e-05,15,15,2050,2050
4,3,3,BAT3,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
5,3,3,Gilead Foster City Solar Project,Li-ion battery,1,0.5,100,500,1.8,0.92,0.92,1.3889e-05,15,15,2050,2050
6,3,3,Silicon Valley Clean Water,Li-ion battery,1,1.0,100,500,2.0,0.92,0.92,1.3889e-05,15,15,2050,2050
7,3,3,D'Arrigo Brothers - Phase 4,Li-ion battery,1,0.5,100,500,1.6,0.92,0.92,1.3889e-05,15,15,2050,2050
8,3,3,UC Santa Cruz Solar,Li-ion battery,1,1.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
9,3,3,Elkhorn Battery Energy Storage System,Li-ion battery,1,182.5,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
10,3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,350.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
11,3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
12,3,3,Dynegy Moss Landing Power Plant Hybrid,Li-ion battery,1,300.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
13,4,4,BAT4,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
14,4,4,West Valley Mission CCD Solar Project,Li-ion battery,1,0.9,100,500,2.3333333333333335,0.92,0.92,1.3889e-05,15,15,2050,2050
15,4,4,Google Moffett Park Solar Project,Li-ion battery,1,0.6,100,500,1.8333333333333335,0.92,0.92,1.3889e-05,15,15,2050,2050
16,4,4,Gavilan Community College Solar Project,Li-ion battery,1,0.5,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
17,5,5,BAT5,Li-ion battery,3,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
18,6,6,BAT6,Li-ion battery,0,10.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
19,6,6,CSU Long Beach,Li-ion battery,1,2.5,100,500,6.0,0.92,0.92,1.3889e-05,15,15,2050,2050
20,6,6,Saticoy,Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
21,6,6,Vallecito,Li-ion battery,1,10.0,100,500,1.0,0.92,0.92,1.3889e-05,15,15,2050,2050
22,6,6,"AES ES Alamitos, LLC",Li-ion battery,1,100.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
23,6,6,Silverstrand Grid Energy Storage System,Li-ion battery,1,11.0,100,500,4.0,0.92,0.92,1.3889e-05,15,15,2050,2050
24,6,6,Acorn I Energy Storage LLC,Li-ion battery,1,2.0,100,500,3.0,0.92,0.92,1.3889e-05,15,15,2050,2050
25,6,6,OCSD,Li-ion battery,1,4.9,100,500,6.653061224489796,0.92,0.92,1.3889e-05,15,15,2050,2050
26,6,6,Orange Coast College PH2 Solar Project,Li-ion battery,1,2.1,100,500,1.9047619047619047,0.92,0.92,1.3889e-05,15,15,2050,2050
27,6,6,Pebbly Beach Generating Station Hybrid,Li-ion battery,1,1.0,100,500,6.8,0.92,0.92,1.3889e-05,15,15,2050,2050
