,Date,Consumption [MWh]
0,2022-01-07,59786280.0
1,2022-01-14,58907070.0
2,2022-01-21,58907070.0
3,2022-01-28,57441720.0
4,2022-02-04,53045670.0
5,2022-02-11,51873390.0
6,2022-02-18,51580320.0
7,2022-02-25,48063480.0
8,2022-03-04,47477340.0
9,2022-03-11,45425850.0
10,2022-03-18,46011990.0
11,2022-03-25,47184270.0
12,2022-04-01,48356550.0
13,2022-04-08,49528830.0
14,2022-04-15,49528830.0
15,2022-04-22,50114970.0
16,2022-04-29,51580320.0
17,2022-05-06,53631810.0
18,2022-05-13,54804090.0
19,2022-05-20,56562510.0
20,2022-05-27,58614000.0
21,2022-06-03,61837770.0
22,2022-06-10,64768470.0
23,2022-06-17,67699170.0
24,2022-06-24,68871450.0
25,2022-07-01,70336800.0
26,2022-07-08,72974430.0
27,2022-07-15,74146710.0
28,2022-07-22,74146710.0
29,2022-07-29,74146710.0
30,2022-08-05,73853640.0
31,2022-08-12,72681360.0
32,2022-08-19,71216010.0
33,2022-08-26,70629870.0
34,2022-09-02,69750660.0
35,2022-09-09,68871450.0
36,2022-09-16,69457590.0
37,2022-09-23,71216010.0
38,2022-09-30,72388290.0
39,2022-10-07,72974430.0
40,2022-10-14,72974430.0
41,2022-10-21,72681360.0
42,2022-10-28,72388290.0
43,2022-11-04,72388290.0
44,2022-11-11,70629870.0
45,2022-11-18,67992240.0
46,2022-11-25,66233820.0
47,2022-12-02,63596190.0
48,2022-12-09,59493210.0
49,2022-12-16,54511020.0
50,2022-12-23,48356550.0
51,2022-12-30,48356550.0
