Node_GAS,Gen_ID,Prime Mover,Fuel,Clumps
1,GEN01,Coal,Coal,Coal
1,GEN02,Natural Gas CC,Natural Gas,Natural Gas
1,GEN03,Natural Gas CT,Natural Gas,Natural Gas
1,GEN04,Natural Gas CC-CCS,Natural Gas,Natural Gas + CCS
1,GEN05,Biopower,Biomass,Biomass
1,GEN06,Solar Thermal,UtilityPV,Solar PV
1,GEN07,Solar PV,UtilityPV,Solar PV
1,GEN08,Comm Solar PV,UtilityPV,Solar PV
1,GEN09,Res Solar PV,UtilityPV,Solar PV
1,GEN10,Wind,LandbasedWind,Wind
1,GEN11,Geothermal,Geothermal,Geothermal
1,GEN12,Geothermal EGS,Geothermal,Enhanced Geothermal
1,GEN13,Nuclear,Nuclear,Nuclear
1,GEN14,Hydropower,Hydro,Hydro
2,GEN15,Coal,Coal,Coal
2,GEN16,Natural Gas CC,Natural Gas,Natural Gas
2,GEN17,Natural Gas CT,Natural Gas,Natural Gas
2,GEN18,Natural Gas CC-CCS,Natural Gas,Natural Gas + CCS
2,GEN19,Biopower,Biomass,Biomass
2,GEN20,Solar Thermal,UtilityPV,Solar PV
2,GEN21,Solar PV,UtilityPV,Solar PV
2,GEN22,Comm Solar PV,UtilityPV,Solar PV
2,GEN23,Res Solar PV,UtilityPV,Solar PV
2,GEN24,Wind,LandbasedWind,Wind
2,GEN25,Geothermal,Geothermal,Geothermal
2,GEN26,Geothermal EGS,Geothermal,Enhanced Geothermal
2,GEN27,Nuclear,Nuclear,Nuclear
2,GEN28,Hydropower,Hydro,Hydro
3,GEN29,Coal,Coal,Coal
3,GEN30,Natural Gas CC,Natural Gas,Natural Gas
3,GEN31,Natural Gas CT,Natural Gas,Natural Gas
3,GEN32,Natural Gas CC-CCS,Natural Gas,Natural Gas + CCS
3,GEN33,Biopower,Biomass,Biomass
3,GEN34,Solar Thermal,UtilityPV,Solar PV
3,GEN35,Solar PV,UtilityPV,Solar PV
3,GEN36,Comm Solar PV,UtilityPV,Solar PV
3,GEN37,Res Solar PV,UtilityPV,Solar PV
3,GEN38,Wind,LandbasedWind,Wind
3,GEN39,Geothermal,Geothermal,Geothermal
3,GEN40,Geothermal EGS,Geothermal,Enhanced Geothermal
3,GEN41,Nuclear,Nuclear,Nuclear
3,GEN42,Hydropower,Hydro,Hydro
4,GEN43,Coal,Coal,Coal
4,GEN44,Natural Gas CC,Natural Gas,Natural Gas
4,GEN45,Natural Gas CT,Natural Gas,Natural Gas
4,GEN46,Natural Gas CC-CCS,Natural Gas,Natural Gas + CCS
4,GEN47,Biopower,Biomass,Biomass
4,GEN48,Solar Thermal,UtilityPV,Solar PV
4,GEN49,Solar PV,UtilityPV,Solar PV
4,GEN50,Comm Solar PV,UtilityPV,Solar PV
4,GEN51,Res Solar PV,UtilityPV,Solar PV
4,GEN52,Wind,LandbasedWind,Wind
4,GEN53,Geothermal,Geothermal,Geothermal
4,GEN54,Geothermal EGS,Geothermal,Enhanced Geothermal
4,GEN55,Nuclear,Nuclear,Nuclear
4,GEN56,Hydropower,Hydro,Hydro
5,GEN57,Coal,Coal,Coal
5,GEN58,Natural Gas CC,Natural Gas,Natural Gas
5,GEN59,Natural Gas CT,Natural Gas,Natural Gas
5,GEN60,Natural Gas CC-CCS,Natural Gas,Natural Gas + CCS
5,GEN61,Biopower,Biomass,Biomass
5,GEN62,Solar Thermal,UtilityPV,Solar PV
5,GEN63,Solar PV,UtilityPV,Solar PV
5,GEN64,Comm Solar PV,UtilityPV,Solar PV
5,GEN65,Res Solar PV,UtilityPV,Solar PV
5,GEN66,Wind,LandbasedWind,Wind
